,Suburb,Region,Latitude,Longitude
0,Carlton,City of melbourne,-37.8001,144.9671
1,Carlton North,City of melbourne,-37.7888,144.9720
2,Docklands,City of melbourne,-37.8175423,144.9394923
3,East Melbourne,City of melbourne,-37.812498,144.9858851
4,Flemington,City of melbourne,-37.7867587,144.9193668
5,Kensington,City of melbourne,-37.7939378,144.9305645
6,Melbourne CBD,City of melbourne,-37.8141823,144.9598007
7,North Melbourne,City of melbourne,-37.8076092,144.9423514
8,Port Melbourne,City of melbourne,-37.8332,144.9125
9,Parkville,City of melbourne,-37.7871148,144.9515533
10,Southbank,City of melbourne,-37.8253618,144.9640203
11,South Wharf,City of melbourne,-37.8253279,144.9493432
12,South Yarra,City of melbourne,-37.8400,144.9890
13,West Melbourne,City of melbourne,-37.81044755,144.92042979350134
