,Suburb,Region,Latitude,Longitude
0,Alexandria,City of Sydney,-33.9091568,151.1921281
1,Annandale,City of Sydney,-33.881224,151.1709976
2,Barangaroo,City of Sydney,-33.8614084,151.2016877
3,Beaconsfield,City of Sydney,-33.9114691,151.200315
4,Camperdown,City of Sydney,-33.8896116,151.1800986
5,Centennial Park,City of Sydney,-33.8977778,151.2338889
6,Chippendale,City of Sydney,-33.8863291,151.1998211
7,Darlinghurst,City of Sydney,-33.8783381,151.219225
8,Darlington,City of Sydney,-33.890862,151.1932156
9,Dawes Point,City of Sydney,-33.8572223,151.2067756
10,Elizabeth Bay,City of Sydney,-33.8716908,151.2282875
11,Erskineville,City of Sydney,-33.9021718,151.1859881
12,Eveleigh,City of Sydney,-33.895,151.1913889
13,Forest Lodge,City of Sydney,-33.8805556,151.1783333
14,Glebe,City of Sydney,-33.8777782,151.1862377
15,Haymarket,City of Sydney,-33.8814408,151.2044524
16,Millers Point,City of Sydney,-33.8599129,151.2041274
17,Moore Park,City of Sydney,-33.8958333,151.2219444
18,Newtown,City of Sydney,-33.8961132,151.1801893
19,Paddington,City of Sydney,-33.8841572,151.2272766
20,Potts Point,City of Sydney,-33.8670797,151.2259967
21,Pyrmont,City of Sydney,-33.8692145,151.1923633
22,Redfern,City of Sydney,-33.8931044,151.2040292
23,Rosebery,City of Sydney,-33.9185861,151.204692
24,Rushcutters Bay,City of Sydney,-33.8750365,151.2276557
25,St Peters,City of Sydney,-33.9159472,151.176332
26,Surry Hills,City of Sydney,-33.8845123,151.2100301
27,Sydney CBD,City of Sydney,-33.8679574,151.210047
28,The Rocks,City of Sydney,-33.859992,151.2083216
29,Ultimo,City of Sydney,-33.8794728,151.1984346
30,Waterloo,City of Sydney,-33.9002762,151.2073137
31,Woolloomooloo,City of Sydney,-33.8718758,151.2192218
32,Zetland,City of Sydney,-33.9076623,151.2082183
