,Suburb,Region,Latitude,Longitude
0,Qianmen,Beijing China,39.8987591,116.3916409
1,Tian'anmen,Beijing China,39.907359,116.39126301779459
2,Di'anmen,Beijing China,39.9312322,116.3681956
3,Chongwenmen,Beijing China,39.8997371,116.4119567
4,Xuanwumen Station,Beijing China,39.8983866,116.3680141
5,Fuchengmen,Beijing China,39.9223101,116.3499722
6,Xizhimen,Beijing China,39.9391442,116.349279
7,Deshengmen,Beijing China,39.9538135,116.3732201
8,Andingmen,Beijing China,39.9477287,116.402067
9,Sanlitun,Beijing China,39.9361049,116.4488126
10,Dongzhimen,Beijing China,39.9398861,116.4281041
11,Chaoyangmen,Beijing China,39.9230647,116.4279504
12,Yongdingmen,Beijing China,39.8710548,116.3931893
13,Zuo'anmen,Beijing China,39.8715049,116.4245949
14,You'anmen,Beijing China,39.8613687,116.35942690735766
15,Guangqumen,Beijing China,39.8813845,116.4398246
16,Guang'anmen,Beijing China,39.88812,116.3439762
17,Huashi,Beijing China,39.89549395,116.41710372977482
18,Xibianmen,Beijing China,39.89473,116.3468007
19,Hepingmen,Beijing China,39.8986925,116.3777751
20,Fuxingmen,Beijing China,39.905948,116.3505107
21,Jianguomen,Beijing China,39.9071594,116.4292321
22,Gongzhufen,Beijing China,39.9062241,116.3034662
23,Fangzhuang,Beijing China,39.8646354,116.4339348
24,Guomao,Beijing China,39.9070164,116.4556474
25,Hepingli Subdistrict,Beijing China,39.9564,116.4239
26,Ping'anli,Beijing China,39.9314815,116.3664948
27,Beixinqiao Subdistrict,Beijing China,39.9424,116.4244
28,Jiaodaokou,Beijing China,39.9378071,116.4023432
29,Kuanjie,Beijing China,39.9316,116.3946
30,Wangjing,Beijing China,39.9918632,116.4600088
31,Wangfujing,Beijing China,39.9066495,116.4052048
32,Dengshikou,Beijing China,39.9154103,116.4118355
33,Wudaokou,Beijing China,39.9914779,116.3317017
34,Xidan,Beijing China,39.9057386,116.3682035
35,Dongdan,Beijing China,39.9068579,116.412626
36,Zhongguancun,Beijing China,39.9826335,116.3104743
37,Panjiayuan Station,Beijing China,40.330303,116.6283762
38,Beijing CBD,Beijing China,39.9050,116.4519
39,Yayuncun,Beijing China,39.9924549,116.4003691
40,Shifoying,Beijing China,39.9269417,116.4958847
41,Huangpu District,Shanghai China,31.2335925,121.479864
42,Xuhui District,Shanghai China,31.163698,121.4279938
43,Changning District,Shanghai China,31.2092762,121.3899859
44,Jing'an District,Shanghai China,31.2297756,121.44306
45,Putuo District,Shanghai China,31.2513263,121.3912291
46,Hongkou District,Shanghai China,31.266703,121.501751
47,Yangpu District,Shanghai China,31.2620112,121.5214305
48,Minhang District,Shanghai China,31.1147666,121.3769429
49,Baoshan District,Shanghai China,31.4066338,121.4851577
50,Jiading District,Shanghai China,31.3838958,121.2461723
51,Pudong New District,Shanghai China,31.19094075,121.59848956292444
52,Jinshan District,Shanghai China,30.744817,121.3372571
53,Songjiang District,Shanghai China,31.029593249999998,121.21083753446175
54,Qingpu District,Shanghai China,31.1521636,121.1195519
55,Fengxian District,Shanghai China,30.9204487,121.4693834
56,Chongming District,Shanghai China,31.6313393,121.5337768
