,Address,Suburb,Region,Latitude,Longitude
0,"Ba Đình, Hanoi Vietnam",Ba Đình,Hanoi Vietnam,21.0363054,105.8289861
1,"Bắc Từ Liêm, Hanoi Vietnam",Bắc Từ Liêm,Hanoi Vietnam,21.0698605,105.7573392
2,"Cầu Giấy, Hanoi Vietnam",Cầu Giấy,Hanoi Vietnam,21.0363077,105.7860752
3,"Đống Đa, Hanoi Vietnam",Đống Đa,Hanoi Vietnam,21.0128913,105.8277098
4,"Hai Bà Trưng, Hanoi Vietnam",Hai Bà Trưng,Hanoi Vietnam,21.0059701,105.8574845
5,"Hà Đông, Hanoi Vietnam",Hà Đông,Hanoi Vietnam,20.9524428,105.7609551
6,"Hoàn Kiếm, Hanoi Vietnam",Hoàn Kiếm,Hanoi Vietnam,21.0289343,105.8522605
7,"Hoàng Mai, Hanoi Vietnam",Hoàng Mai,Hanoi Vietnam,20.9745977,105.8637067
8,"Long Biên, Hanoi Vietnam",Long Biên,Hanoi Vietnam,21.0393411,105.8922453
9,"Nam Từ Liêm, Hanoi Vietnam",Nam Từ Liêm,Hanoi Vietnam,21.0128458,105.7608745
10,"Tây Hồ, Hanoi Vietnam",Tây Hồ,Hanoi Vietnam,21.0709066,105.8213409
11,"Thanh Xuân, Hanoi Vietnam",Thanh Xuân,Hanoi Vietnam,20.9938862,105.8146705
