,Suburb,Region,Latitude,Longitude
0,Baluwatar,Kathmandu Nepal,27.7246028,85.3310167
1,Baneshwor,Kathmandu Nepal,27.69623425,85.32942424061463
2,Chabahil,Kathmandu Nepal,27.717083,85.346733
3,Dilli Bazaar,Kathmandu Nepal,27.7071,85.3278
4,Gairidhara,Kathmandu Nepal,27.7177283,85.3278327
5,Gyaneshwar,Kathmandu Nepal,27.7089776,85.3305466
6,Kalimati,Kathmandu Nepal,27.6985833,85.2991569
7,Lazimpat,Kathmandu Nepal,27.7215082,85.3207646
8,Maru,Kathmandu Nepal,27.7037885,85.3058598
9,Naxal,Kathmandu Nepal,27.7126782,85.3287033
10,Samakhushi,Kathmandu Nepal,27.7352622,85.3182163
11,Sinamangal,Kathmandu Nepal,27.6991844,85.3504227
12,Swayambhu,Kathmandu Nepal,27.7161935,85.2838241
13,Thamel,Kathmandu Nepal,27.717028,85.311256
