,Address,Suburb,Region,Latitude,Longitude
0,"Bukit Bintang, Kuala Lumpur Malaysia",Bukit Bintang,Kuala Lumpur Malaysia,3.1471068,101.7086011
1,"Titiwangsa, Kuala Lumpur Malaysia",Titiwangsa,Kuala Lumpur Malaysia,3.1731452,101.69593298166299
2,"Setiawangsa, Kuala Lumpur Malaysia",Setiawangsa,Kuala Lumpur Malaysia,3.1757246500000003,101.73588374702295
3,"Wangsa Maju, Kuala Lumpur Malaysia",Wangsa Maju,Kuala Lumpur Malaysia,3.205667,101.73190795064856
4,"Batu, Kuala Lumpur Malaysia",Batu,Kuala Lumpur Malaysia,3.2018234,101.6710223
5,"Kepong, Kuala Lumpur Malaysia",Kepong,Kuala Lumpur Malaysia,3.20280985,101.637395
6,"Segambut, Kuala Lumpur Malaysia",Segambut,Kuala Lumpur Malaysia,3.1864369,101.66420485834625
7,"Lembah Pantai, Kuala Lumpur Malaysia",Lembah Pantai,Kuala Lumpur Malaysia,3.1044441,101.6721893
8,"Seputeh, Kuala Lumpur Malaysia",Seputeh,Kuala Lumpur Malaysia,3.1136874,101.68142
9,"Bandar Tun Razak, Kuala Lumpur Malaysia",Bandar Tun Razak,Kuala Lumpur Malaysia,3.0896947,101.71246711716327
10,"Cheras, Kuala Lumpur Malaysia",Cheras,Kuala Lumpur Malaysia,3.107178,101.71649
