,Suburb,Region,Latitude,Longitude
0,Ashok Vihar,New Delhi India,28.6994533,77.1848256
1,Bawana,New Delhi India,28.79966,77.0328847
2,Begum Pur,New Delhi India,28.7239,77.0609
3,Dhaka,New Delhi India,28.70869755,77.20574900932183
4,Karala,New Delhi India,28.73514,77.0325105
5,Keshav Puram,New Delhi India,28.6889264,77.1616833
6,Kingsway Camp,New Delhi India,28.613749,77.2121334
7,Model Town,New Delhi India,28.7027136,77.1939912
8,Narela,New Delhi India,28.8426096,77.0918354
9,Pitam Pura,New Delhi India,28.7032676,77.1322497
10,Rani Bagh,New Delhi India,28.6859821,77.13252446991615
11,Rohini Sub City,New Delhi India,28.7383,77.0822
12,Shalimar Bagh,New Delhi India,28.71745265,77.15086654617409
13,Chandni Chowk,New Delhi India,28.6559834,77.2321937
14,Chawri Bazaar,New Delhi India,28.6492649,77.2265153
15,Civil Lines,New Delhi India,28.6768508,77.2250299
16,Dariba Kalan,New Delhi India,28.6546024,77.2333794
17,Ghantewala,New Delhi India,28.6561,77.2300
18,Gulabi Bagh,New Delhi India,28.6696495,77.1947256
19,Kamla Nagar,New Delhi India,28.680344249999997,77.20212920033055
20,Kashmiri Gate,New Delhi India,28.6699765,77.2320588
21,Kotwali,New Delhi India,28.6410215,77.24160527278141
22,Paharganj,New Delhi India,28.6414989,77.2140607
23,Roshanara Bagh,New Delhi India,28.67371835,77.19931977973923
24,Sadar Bazaar,New Delhi India,28.5771509,77.1111533
25,Sarai Kale Khan,New Delhi India,28.5866263,77.25622817914692
26,Sarai Rohilla,New Delhi India,28.6678728,77.1902673
27,Shakti Nagar,New Delhi India,28.67979,77.1949142
28,Shastri Nagar,New Delhi India,28.6700885,77.1818589
29,Tis Hazari,New Delhi India,28.6671626,77.2166306
30,Timarpur,New Delhi India,28.70126285,77.21867953631201
31,Wazirabad,New Delhi India,28.433762,77.0877572
32,Babarpur,New Delhi India,28.6874305,77.2797551
33,Dilshad Garden,New Delhi India,28.6758257,77.3215163
34,Kabir nagar,New Delhi India,28.6926703,77.28354434635405
35,Mukherjee Nagar,New Delhi India,28.7125567,77.2144044393311
36,Naveen Shahdara,New Delhi India,28.6773386,77.2860157
37,Shahdara,New Delhi India,28.6733333,77.2890248
38,Shastri Park,New Delhi India,28.6684339,77.2505301
39,Yamuna Vihar,New Delhi India,28.700372,77.2727728
41,Daryaganj,New Delhi India,28.64609,77.243048
42,Karol Bagh,New Delhi India,28.6529982,77.1890227
44,Rajender Nagar,New Delhi India,28.6372,77.1824
46,Barakhamba Road,New Delhi India,28.6295894,77.2251378
47,Chanakyapuri,New Delhi India,28.5946775,77.1885212
48,Connaught Place,New Delhi India,28.6313827,77.2197924
49,Gole Market,New Delhi India,28.63371865,77.20562662098214
50,INA Colony,New Delhi India,28.5772814,77.2126489
51,Khan Market,New Delhi India,28.6001354,77.22649064087364
