,Address,Suburb,Region,Latitude,Longitude
0,"Adachi, Tokyo Japan",Adachi,Tokyo Japan,35.783703,139.795319
1,"Arakawa, Tokyo Japan",Arakawa,Tokyo Japan,35.737529,139.78131
2,"Bunkyō, Tokyo Japan",Bunkyō,Tokyo Japan,35.71881,139.744732
3,"Chiyoda, Tokyo Japan",Chiyoda,Tokyo Japan,35.685403,139.752738
4,"Chūō, Tokyo Japan",Chūō,Tokyo Japan,35.666255,139.775565
5,"Edogawa, Tokyo Japan",Edogawa,Tokyo Japan,35.7377048,139.8961189
6,"Itabashi, Tokyo Japan",Itabashi,Tokyo Japan,35.774143,139.681209
7,"Katsushika, Tokyo Japan",Katsushika,Tokyo Japan,35.751733,139.863816
8,"Kita, Tokyo Japan",Kita,Tokyo Japan,35.755838,139.736687
9,"Kōtō, Tokyo Japan",Kōtō,Tokyo Japan,35.649154,139.81279
10,"Meguro, Tokyo Japan",Meguro,Tokyo Japan,35.62125,139.688014
11,"Minato, Tokyo Japan",Minato,Tokyo Japan,35.6432274,139.7400553
12,"Nakano, Tokyo Japan",Nakano,Tokyo Japan,35.718123,139.664468
13,"Nerima, Tokyo Japan",Nerima,Tokyo Japan,35.74836,139.638735
14,"Ōta, Tokyo Japan",Ōta,Tokyo Japan,35.561206,139.715843
15,"Setagaya, Tokyo Japan",Setagaya,Tokyo Japan,35.646096,139.65627
16,"Shibuya, Tokyo Japan",Shibuya,Tokyo Japan,35.6645956,139.6987107
17,"Shinagawa, Tokyo Japan",Shinagawa,Tokyo Japan,35.599252,139.73891
18,"Shinjuku, Tokyo Japan",Shinjuku,Tokyo Japan,35.6937632,139.7036319
19,"Suginami, Tokyo Japan",Suginami,Tokyo Japan,35.6994929,139.6362876
20,"Sumida, Tokyo Japan",Sumida,Tokyo Japan,35.700429,139.805017
21,"Taitō, Tokyo Japan",Taitō,Tokyo Japan,35.71745,139.790859
22,"Toshima, Tokyo Japan",Toshima,Tokyo Japan,35.736156,139.714222
