,Suburb,Region,Latitude,Longitude
0,Angelino Heights,Los Angeles US,34.0702889,-118.2547965
1,Angeles Mesa,Los Angeles US,33.9914024,-118.3195196
2,Arleta,Los Angeles US,34.2413266,-118.4322047
3,Arlington Heights,Los Angeles US,34.0434937,-118.3213735
4,Arts District,Los Angeles US,34.0412389,-118.2344503
5,Atwater Village,Los Angeles US,34.1186975,-118.2623924
6,Baldwin Hills/Crenshaw,Los Angeles US,34.0075684,-118.3505956
7,Beachwood Canyon,Los Angeles US,34.1222919,-118.3213845
8,Bel Air,Los Angeles US,34.0988833,-118.4598811
9,Benedict Canyon,Los Angeles US,34.0447702,-118.4000223
10,Beverly Crest,Los Angeles US,34.1167701,-118.4322607
11,Beverly Glen,Los Angeles US,34.1077855,-118.4456361
12,Beverly Grove,Los Angeles US,34.0760338,-118.3699723
13,Beverly Park,Los Angeles US,34.06376935,-118.26468959898818
14,Beverlywood,Los Angeles US,34.0466335,-118.395038
15,Boyle Heights,Los Angeles US,34.0436892,-118.2097684
16,Brentwood,Los Angeles US,34.0521403,-118.4740699
17,Brentwood Circle,Los Angeles US,34.0521403,-118.4740699
18,Broadway-Manchester,Los Angeles US,33.9410149,-118.2744036
19,Brookside,Los Angeles US,34.0536909,-118.2427666
20,Bunker Hill,Los Angeles US,34.0550659,-118.2512228
21,Cahuenga Pass,Los Angeles US,34.0968666,-118.3295078
22,Canoga Park,Los Angeles US,34.2010776,-118.5978259
23,Harvard Park,Los Angeles US,33.9839471,-118.3046228
24,Carthay,Los Angeles US,34.0611213,-118.3672997
25,Central-Alameda,Los Angeles US,34.004015,-118.2477844
26,Downtown Los Angeles,Los Angeles US,34.0428494,-118.2476732
27,Century City,Los Angeles US,34.0574263,-118.4147267
28,Chatsworth,Los Angeles US,34.2595715,-118.6023247
29,Chesterfield Square,Los Angeles US,33.9834737,-118.3136513
30,Cheviot Hills,Los Angeles US,34.0405878,-118.4098875
31,Chinatown,Los Angeles US,34.0638402,-118.2358676
32,Civic Center,Los Angeles US,34.057560699999996,-118.24680989487618
33,Crenshaw,Los Angeles US,33.9252122,-118.3265295
34,Cypress Park,Los Angeles US,34.0922322,-118.2245179
35,Del Rey,Los Angeles US,33.9896527,-118.4243437
36,Eagle Rock,Los Angeles US,34.1366877,-118.2076796
37,East Hollywood,Los Angeles US,34.0904277,-118.2966254
38,East Los Angeles,Los Angeles US,34.0239015,-118.1720157
39,Echo Park,Los Angeles US,34.0779819,-118.2567824
40,Edendale,Los Angeles US,34.1075157,-118.2659493
41,El Sereno,Los Angeles US,34.0811213,-118.1778495
42,Elysian Heights,Los Angeles US,34.09954795,-118.24471480448986
43,Elysian Park,Los Angeles US,34.0774343,-118.2386204
44,Elysian Valley,Los Angeles US,34.0959128,-118.2420326
45,Encino,Los Angeles US,34.1591324,-118.5016166
46,Exposition Park,Los Angeles US,34.01365405,-118.28721058194556
47,Fashion District,Los Angeles US,34.036622,-118.2590687
48,Financial District,Los Angeles US,34.050248100000005,-118.25577504198614
49,Florence,Los Angeles US,33.9741588,-118.2432856
50,Gallery Row,Los Angeles US,34.04668705,-118.24948972158668
51,Garvanza,Los Angeles US,34.1195777,-118.18062645261816
52,Glassell Park,Los Angeles US,34.1161201,-118.2289627
53,Gramercy Park,Los Angeles US,33.9511938,-118.3093275
54,Granada Hills,Los Angeles US,34.2661558,-118.5174342
55,Green Meadows,Los Angeles US,33.9409877,-118.2629968
56,Griffith Park,Los Angeles US,34.1358143,-118.2947892
57,Hancock Park,Los Angeles US,34.0736782,-118.3350551
58,Harbor City,Los Angeles US,33.7972822,-118.3004717
59,Harbor Gateway,Los Angeles US,33.8542249,-118.2992198
60,Harvard Heights,Los Angeles US,34.0471105,-118.3054828
61,Hermon,Los Angeles US,34.10731415,-118.18525103964701
62,Highland Park,Los Angeles US,34.1099469,-118.1969828
63,Historic Core,Los Angeles US,34.04596205,-118.25187366803968
64,Hollywood,Los Angeles US,34.0980031,-118.3295232
65,Hollywood Hills,Los Angeles US,34.1311792,-118.3355474
66,Hollywood Hills West,Los Angeles US,34.1104847,-118.3733879
67,Hyde Park,Los Angeles US,33.9854024,-118.3308614
68,Jefferson Park,Los Angeles US,34.0296173,-118.3224597
69,Jewelry District,Los Angeles US,34.046206299999994,-118.25416742423957
70,Koreatown,Los Angeles US,34.0617342,-118.3053732
71,Ladera,Los Angeles US,33.9941792,-118.3753543
72,Lake Balboa,Los Angeles US,34.1811656,-118.49523600143311
73,Lake View Terrace,Los Angeles US,34.2763908,-118.3611912
74,Larchmont,Los Angeles US,34.0798375,-118.3178702
75,Laurel Canyon,Los Angeles US,34.1684654,-118.3962958
76,Leimert Park,Los Angeles US,34.007702,-118.3320627
77,Lincoln Heights,Los Angeles US,34.070929050000004,-118.20988981653888
78,Little Armenia,Los Angeles US,34.0981716,-118.3044966
79,Little Tokyo,Los Angeles US,34.0482168,-118.24118143660098
80,Los Feliz,Los Angeles US,34.1076561,-118.2875062
81,Manchester Square,Los Angeles US,33.966374,-118.3133775
82,Mandeville Canyon,Los Angeles US,34.0610395,-118.4949801
83,Mar Vista,Los Angeles US,34.0037605,-118.4391641
84,Mid-City,Los Angeles US,34.0415271,-118.3603703
85,Mid-Wilshire,Los Angeles US,34.0568616,-118.3458032
86,Mission Hills,Los Angeles US,34.2572249,-118.4670285
87,Montecito Heights,Los Angeles US,34.0895404,-118.1942792
88,Mount Washington,Los Angeles US,34.0988396,-118.2211069
