,Address,Suburb,Region,Latitude,Longitude
0,"Carlton, Melbourne",Carlton,City of melbourne,-37.8001,144.9671
1,"Carlton North, Melbourne",Carlton North,City of melbourne,-37.7888,144.9720
2,"Docklands, Melbourne",Docklands,City of melbourne,-37.8175423,144.9394923
3,"East Melbourne, Melbourne",East Melbourne,City of melbourne,-37.812498,144.9858851
4,"Flemington, Melbourne",Flemington,City of melbourne,-37.7867587,144.9193668
5,"Kensington, Melbourne",Kensington,City of melbourne,-37.7939378,144.9305645
6,"Melbourne CBD, Melbourne",Melbourne CBD,City of melbourne,-37.8141823,144.9598007
7,"North Melbourne, Melbourne",North Melbourne,City of melbourne,-37.8076092,144.9423514
8,"Port Melbourne, Melbourne",Port Melbourne,City of melbourne,-37.8332,144.9125
9,"Parkville, Melbourne",Parkville,City of melbourne,-37.7871148,144.9515533
10,"Southbank, Melbourne",Southbank,City of melbourne,-37.8253618,144.9640203
11,"South Wharf, Melbourne",South Wharf,City of melbourne,-37.8253279,144.9493432
12,"South Yarra, Melbourne",South Yarra,City of melbourne,-37.8400,144.9890
13,"West Melbourne, Melbourne",West Melbourne,City of melbourne,-37.81044755,144.92042979350134
