,Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Qianmen, Beijing China",39.8987591,116.3916409,Starbucks Reserve (星巴克甄选),39.896580895872,116.39061846906604,Coffee Shop
1,"Qianmen, Beijing China",39.8987591,116.3916409,Blue Note Beijing,39.899744376279244,116.3953921624988,Lounge
2,"Qianmen, Beijing China",39.8987591,116.3916409,Page One (叶壹堂),39.896713555388644,116.390846120013,Bookstore
3,"Qianmen, Beijing China",39.8987591,116.3916409,Lost Heaven 花马天堂,39.90027191284911,116.39561210153245,Yunnan Restaurant
4,"Qianmen, Beijing China",39.8987591,116.3916409,四季民福,39.89581070098308,116.39126210575094,Beijing Restaurant
5,"Qianmen, Beijing China",39.8987591,116.3916409,Bian Yi Fang (便宜坊烤鸭店),39.89507474273276,116.39455046002689,Peking Duck Restaurant
6,"Qianmen, Beijing China",39.8987591,116.3916409,Zhengyang Gate (前门),39.89876302253632,116.39172052091162,Monument / Landmark
7,"Qianmen, Beijing China",39.8987591,116.3916409,China Railway Museum (中国铁道博物馆 (正阳门馆) China Railway Museum),39.89835784065791,116.39411956071852,History Museum
8,"Qianmen, Beijing China",39.8987591,116.3916409,Starbucks (星巴克),39.89683198039926,116.39173830845957,Coffee Shop
9,"Qianmen, Beijing China",39.8987591,116.3916409,MUJI HOTEL BEIJING,39.897257430278934,116.38934721082704,Hotel
10,"Qianmen, Beijing China",39.8987591,116.3916409,Voyage Coffee,39.89663069555414,116.38968581909658,Coffee Shop
11,"Qianmen, Beijing China",39.8987591,116.3916409,Chairman Mao's Mausoleum (毛主席纪念堂),39.90114397291038,116.39160633087158,Monument / Landmark
12,"Qianmen, Beijing China",39.8987591,116.3916409,Beijing Fun (北京坊),39.89657889158425,116.39054132427631,Shopping Mall
13,"Qianmen, Beijing China",39.8987591,116.3916409,Tong Ren Tang (同仁堂),39.89447439449877,116.38996492040829,Pharmacy
14,"Qianmen, Beijing China",39.8987591,116.3916409,McDonald's (麦当劳),39.89849594322709,116.38871169222783,Fast Food Restaurant
15,"Qianmen, Beijing China",39.8987591,116.3916409,北京前门皇家驿栈 The Emperor Beijing Qianmen,39.895176620598036,116.39353437737577,Hotel
16,"Qianmen, Beijing China",39.8987591,116.3916409,UNIQLO (优衣库),39.89536630584983,116.39200295689609,Clothing Store
17,"Qianmen, Beijing China",39.8987591,116.3916409,Dicos,39.894678884998484,116.391518780717,Fast Food Restaurant
18,"Qianmen, Beijing China",39.8987591,116.3916409,鲜鱼口美食街,39.89463656530599,116.39245562227944,Chinese Restaurant
19,"Qianmen, Beijing China",39.8987591,116.3916409,全聚德 Quanjude Peking Roast Duck,39.89501300731703,116.3921748671842,Peking Duck Restaurant
20,"Qianmen, Beijing China",39.8987591,116.3916409,KFC (肯德基),39.8983822731679,116.38906906467905,Fast Food Restaurant
21,"Qianmen, Beijing China",39.8987591,116.3916409,北京规划展览馆 Beijing Planning Exhibition Hall,39.898647913494635,116.39503558553803,Museum
22,"Qianmen, Beijing China",39.8987591,116.3916409,King's Joy Hotel,39.89536,116.394548,Hotel
23,"Qianmen, Beijing China",39.8987591,116.3916409,老舍茶館 Laoshe Teahouse,39.89866504653292,116.38710146420266,Tea Room
24,"Qianmen, Beijing China",39.8987591,116.3916409,都一处前门店,39.89473950293736,116.39188878613857,Dim Sum Restaurant
25,"Qianmen, Beijing China",39.8987591,116.3916409,张一元茶庄,39.894637761823326,116.39046972894225,Tea Room
