,Address,Suburb,Region,Latitude,Longitude
0,"Qianmen, Beijing China",Qianmen,Beijing China,39.8987591,116.3916409
1,"Tian'anmen, Beijing China",Tian'anmen,Beijing China,39.907359,116.39126301779459
2,"Di'anmen, Beijing China",Di'anmen,Beijing China,39.9312322,116.3681956
3,"Chongwenmen, Beijing China",Chongwenmen,Beijing China,39.8997371,116.4119567
4,"Xuanwumen Station, Beijing China",Xuanwumen Station,Beijing China,39.8983866,116.3680141
5,"Fuchengmen, Beijing China",Fuchengmen,Beijing China,39.9223101,116.3499722
6,"Xizhimen, Beijing China",Xizhimen,Beijing China,39.9391442,116.349279
7,"Deshengmen, Beijing China",Deshengmen,Beijing China,39.9538135,116.3732201
8,"Andingmen, Beijing China",Andingmen,Beijing China,39.9477287,116.402067
9,"Sanlitun, Beijing China",Sanlitun,Beijing China,39.9361049,116.4488126
10,"Dongzhimen, Beijing China",Dongzhimen,Beijing China,39.9398861,116.4281041
11,"Chaoyangmen, Beijing China",Chaoyangmen,Beijing China,39.9230647,116.4279504
12,"Yongdingmen, Beijing China",Yongdingmen,Beijing China,39.8710548,116.3931893
13,"Zuo'anmen, Beijing China",Zuo'anmen,Beijing China,39.8715049,116.4245949
14,"You'anmen, Beijing China",You'anmen,Beijing China,39.8613687,116.35942690735766
15,"Guangqumen, Beijing China",Guangqumen,Beijing China,39.8813845,116.4398246
16,"Guang'anmen, Beijing China",Guang'anmen,Beijing China,39.88812,116.3439762
17,"Huashi, Beijing China",Huashi,Beijing China,39.89549395,116.41710372977482
18,"Xibianmen, Beijing China",Xibianmen,Beijing China,39.89473,116.3468007
19,"Hepingmen, Beijing China",Hepingmen,Beijing China,39.8986925,116.3777751
20,"Fuxingmen, Beijing China",Fuxingmen,Beijing China,39.905948,116.3505107
21,"Jianguomen, Beijing China",Jianguomen,Beijing China,39.9071594,116.4292321
22,"Gongzhufen, Beijing China",Gongzhufen,Beijing China,39.9062241,116.3034662
23,"Fangzhuang, Beijing China",Fangzhuang,Beijing China,39.8646354,116.4339348
24,"Guomao, Beijing China",Guomao,Beijing China,39.9070164,116.4556474
25,"Hepingli Subdistrict, Beijing China",Hepingli Subdistrict,Beijing China,39.9564,116.4239
26,"Ping'anli, Beijing China",Ping'anli,Beijing China,39.9314815,116.3664948
27,"Beixinqiao Subdistrict, Beijing China",Beixinqiao Subdistrict,Beijing China,39.9424,116.4244
28,"Jiaodaokou, Beijing China",Jiaodaokou,Beijing China,39.9378071,116.4023432
29,"Kuanjie, Beijing China",Kuanjie,Beijing China,39.9316,116.3946
30,"Wangjing, Beijing China",Wangjing,Beijing China,39.9918632,116.4600088
31,"Wangfujing, Beijing China",Wangfujing,Beijing China,39.9066495,116.4052048
32,"Dengshikou, Beijing China",Dengshikou,Beijing China,39.9154103,116.4118355
33,"Wudaokou, Beijing China",Wudaokou,Beijing China,39.9914779,116.3317017
34,"Xidan, Beijing China",Xidan,Beijing China,39.9057386,116.3682035
35,"Dongdan, Beijing China",Dongdan,Beijing China,39.9068579,116.412626
36,"Zhongguancun, Beijing China",Zhongguancun,Beijing China,39.9826335,116.3104743
37,"Panjiayuan Station, Beijing China",Panjiayuan Station,Beijing China,40.330303,116.6283762
38,"Beijing CBD, Beijing China",Beijing CBD,Beijing China,39.9050,116.4519
39,"Yayuncun, Beijing China",Yayuncun,Beijing China,39.9924549,116.4003691
40,"Shifoying, Beijing China",Shifoying,Beijing China,39.9269417,116.4958847
41,"Anting, Shanghai China",Anting,Shanghai China,31.2982637,121.1568281
42,"Changshou Road Subdistrict, Shanghai China",Changshou Road Subdistrict,Shanghai China,31.241944,121.433333
43,"Fengjing, Shanghai China",Fengjing,Shanghai China,30.8908291,121.0101309
44,"Gaoqiao, Shanghai China",Gaoqiao,Shanghai China,31.3437506,121.5712201
45,"Gubei, Shanghai China",Gubei,Shanghai China,31.1824288,121.4027333
46,"Koreatown, Shanghai China",Koreatown,Shanghai China,31.170600,121.375000
47,"Lujiazui, Shanghai China",Lujiazui,Shanghai China,31.24016825,121.49794463601899
48,"Luodian, Shanghai China",Luodian,Shanghai China,31.39689,121.3511737
49,"Nanxiang, Shanghai China",Nanxiang,Shanghai China,31.2957996,121.316244
50,"Qiantan International Business Zone, Shanghai China",Qiantan International Business Zone,Shanghai China,31.157778,121.471667
51,"Qibao, Shanghai China",Qibao,Shanghai China,31.1573185,121.3442329
52,"Songjiang Town, Shanghai China",Songjiang Town,Shanghai China,31.056329400000003,121.2281720599961
53,"Tianzifang, Shanghai China",Tianzifang,Shanghai China,31.2100576,121.46421521421678
54,"Wusong, Shanghai China",Wusong,Shanghai China,31.3745763,121.4895071
55,"Xintiandi, Shanghai China",Xintiandi,Shanghai China,31.2179361,121.469819
56,"Xinzhuang, Shanghai China",Xinzhuang,Shanghai China,31.112196,121.3732993
57,"Xujiahui, Shanghai China",Xujiahui,Shanghai China,31.1974902,121.4323653
58,"Zhangjiang Town, Shanghai China",Zhangjiang Town,Shanghai China,31.2073473,121.6101825
59,"Zhujiajiao, Shanghai China",Zhujiajiao,Shanghai China,31.1133253,121.051736
