,Address,Suburb,Region,Latitude,Longitude
0,"Bardon, City of brisbane",Bardon,City of brisbane,-27.4593968,152.9803388
1,"Bowen Hills, City of brisbane",Bowen Hills,City of brisbane,-27.446675199999998,153.0402224
2,"Brisbane CBD, City of brisbane",Brisbane CBD,City of brisbane,-27.466828999999997,153.0273743
3,"East Brisbane, City of brisbane",East Brisbane,City of brisbane,-27.4832497,153.04557450000001
4,"Fortitude Valley, City of brisbane",Fortitude Valley,City of brisbane,-27.4562467,153.0358184
5,"Herston, City of brisbane",Herston,City of brisbane,-27.446789799999998,153.02279130000002
6,"Highgate Hill, City of brisbane",Highgate Hill,City of brisbane,-27.487664600000002,153.01757519999998
7,"Kangaroo Point, City of brisbane",Kangaroo Point,City of brisbane,-27.4736234,153.0364287
8,"Kelvin Grove, City of brisbane",Kelvin Grove,City of brisbane,-27.449426300000002,153.01134199999998
9,"New Farm, City of brisbane",New Farm,City of brisbane,-27.4654745,153.0461335
10,"Newstead, City of brisbane",Newstead,City of brisbane,-27.4453279,153.0444763
11,"Paddington, City of brisbane",Paddington,City of brisbane,-27.4604626,153.0019682
12,"Petrie Terrace, City of brisbane",Petrie Terrace,City of brisbane,-27.463344699999997,153.0129803
13,"Red Hill, City of brisbane",Red Hill,City of brisbane,-27.4545228,153.0071405
14,"South Brisbane, City of brisbane",South Brisbane,City of brisbane,-27.482134000000002,153.0223507
15,"Spring Hill, City of brisbane",Spring Hill,City of brisbane,-27.461441600000004,153.0257338
16,"Teneriffe, City of brisbane",Teneriffe,City of brisbane,-27.4569762,153.0465176
17,"West End, City of brisbane",West End,City of brisbane,-27.480432699999998,153.0128302
18,"Woolloongabba, City of brisbane",Woolloongabba,City of brisbane,-27.4853896,153.03644880000002
19,"Albion, City of brisbane",Albion,City of brisbane,-27.4303642,153.04212009999998
20,"Alderley, City of brisbane",Alderley,City of brisbane,-27.425816100000002,153.00231599999998
21,"Ascot, City of brisbane",Ascot,City of brisbane,-27.431895500000003,153.0630132
22,"Aspley, City of brisbane",Aspley,City of brisbane,-27.3628522,153.01641769999998
23,"Bald Hills, City of brisbane",Bald Hills,City of brisbane,-27.3107173,153.0124269
24,"Banyo, City of brisbane",Banyo,City of brisbane,-27.3760218,153.07716340000002
