,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Bardon, Brisbane",-27.4593968,152.9803388,Goodlife Health Club,-27.4556702229987,152.9806566073806,Gym
1,"Bardon, Brisbane",-27.4593968,152.9803388,Beans On The Green,-27.4563,152.97815,Café
2,"Bardon, Brisbane",-27.4593968,152.9803388,Bardon bowls club,-27.456412978031487,152.97828241763662,Bowling Green
3,"Bardon, Brisbane",-27.4593968,152.9803388,Bardon Foodstore,-27.463457000000002,152.979592,Convenience Store
4,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Rogue Bar + Bistro,-27.445978779968602,153.04387902212548,Bistro
5,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Range Brewing,-27.448079999999997,153.04363,Brewery
6,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Di Bella Coffee HQ,-27.443331631531482,153.03857858747634,Coffee Shop
7,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Betty’s Burgers & Concrete Co.,-27.449840000000002,153.04355,Burger Joint
8,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Cheeky Poke Bar,-27.449840000000002,153.04355,Poke Place
9,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,The Boo,-27.44469909446884,153.04251527232168,Café
10,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Homemaker The Valley North,-27.450097665727984,153.04038070441194,Shopping Mall
11,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Merlo,-27.44223096918445,153.04040144548142,Coffee Shop
12,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Bowen Hills YMCA,-27.44280190125093,153.03889346532557,Gym
13,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Aldi,-27.450037218227678,153.04071488074226,Supermarket
14,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,IGA X-Press Bowen Hills,-27.44724,153.03611999999998,Grocery Store
15,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Goodlife Health Club,-27.45019930154389,153.0402435475865,Gym
16,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Twelfth Night Theatre,-27.4473,153.03829,Theater
17,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Bowen Arrow Cafe,-27.44724,153.03611999999998,Café
18,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Howards Storage World,-27.450109,153.04046200000002,Furniture / Home Store
19,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Healthy Habits,-27.44312299250361,153.04134210403637,Sandwich Place
20,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Haru Sushi Cafe,-27.44724,153.03611999999998,Japanese Restaurant
21,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Harlow Hot Yoga,-27.44807,153.04413,Yoga Studio
22,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Pipi Designs Expresso Store,-27.44360018008693,153.0426725879044,Coffee Shop
23,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,DiBella Roast House,-27.447697192952344,153.03606653379904,Coffee Shop
24,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Perry Park,-27.442954745692056,153.04152108782066,Park
25,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Di Bella Coffee - Drive Thru,-27.442774617448315,153.03861349114842,Coffee Shop
26,"Bowen Hills, Brisbane",-27.446675199999998,153.0402224,Queensland Rail Mayne Depot,-27.44415998627025,153.03634612883243,Train Station
27,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,The Dark Chocolatier by the Noosa Chocolate Factory,-27.467829778434343,153.02572300541945,Chocolate Shop
28,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,The Gresham,-27.467169000000002,153.02823999999998,Whisky Bar
29,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Vege Rama,-27.46671,153.02737,Vegetarian / Vegan Restaurant
30,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Apple Brisbane,-27.4685338,153.02753959999998,Electronics Store
31,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Hard Coffee,-27.467734202068588,153.02758284146637,Café
32,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Marchetti,-27.46851,153.026923,Café
33,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Corbett & Claude,-27.468011241476283,153.02950210036315,Bar
34,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,T2,-27.468668295949264,153.02658458970689,Tea Room
35,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Brooklyn Standard,-27.466395490517897,153.02984984013113,Bar
36,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Woolworths,-27.4683648081417,153.02750357904162,Supermarket
37,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Fitness First,-27.46761843740108,153.02930089773398,Gym
38,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Nodo Donuts,-27.467833000000002,153.029124,Donut Shop
39,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Anzac Square,-27.46674583184197,153.02688509263854,Plaza
40,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Toobirds Bistro & Bar | Expresso & Eats,-27.46577565960669,153.0272825297175,Bistro
41,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,The Roll Shop,-27.46725,153.02783,Vietnamese Restaurant
42,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Cartel Coffee,-27.468447693029198,153.02484509104931,Coffee Shop
43,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Louis Vuitton,-27.468343199999996,153.02642230000004,Boutique
44,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Queen Street Mall,-27.46728613,153.02790885,Pedestrian Plaza
45,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Top Sushi,-27.466686161963466,153.02773595464018,Sushi Restaurant
46,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Le Bon Choix,-27.466057531528268,153.03019988848777,Bakery
47,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Brew Cafe & Wine Bar,-27.469071999999997,153.02515,Café
48,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Riverbar & Kitchen,-27.468145899999996,153.0306326,Restaurant
49,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Noosa Chocolate Factory,-27.467799214650192,153.02582162546463,Chocolate Shop
50,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Death Star Canteen,-27.466559999999998,153.02961000000002,Café
51,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Cawfee,-27.465857,153.030039,Café
52,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Botero,-27.46617438015266,153.0279768366169,Café
53,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Malt,-27.469106916908,153.02954364744238,Restaurant
54,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Hilton,-27.469173242657124,153.02677273750302,Hotel
55,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Cool Beans & Baguettes,-27.46710645294273,153.02510534665257,Coffee Shop
56,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Nespresso Boutique,-27.468827916762447,153.02636597248915,Café
57,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Phat Elephant,-27.46713095878852,153.02681716304588,Thai Restaurant
58,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Maru Korean Restaurant,-27.470259999999996,153.02671,Korean Restaurant
59,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Rocking Horse Records,-27.469172218294467,153.02477899018425,Record Shop
60,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Red Hook,-27.467107878591566,153.02795439689908,American Restaurant
61,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Brisbane River Walk,-27.465024067277387,153.03134065782024,Trail
62,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Nominom,-27.47028533710884,153.0262531396137,Frozen Yogurt Shop
63,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,jak + hill,-27.4636262353871,153.0256167938703,Café
64,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Uniqlo,-27.46923099046629,153.02587351432967,Clothing Store
65,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Mr Curry,-27.46728,153.02739,Japanese Restaurant
66,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Strauss,-27.469670799171627,153.02730380123464,Café
67,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Cuvée Lounge Bar,-27.46572712214817,153.02633301975158,Cocktail Bar
68,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Vapiano,-27.469917120811463,153.02574723201892,Italian Restaurant
69,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Guzman Y Gomez,-27.4693624,153.0264208,Mexican Restaurant
70,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Eagle St Pier,-27.468855422342035,153.0307800119094,Pedestrian Plaza
71,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Bar Moda,-27.46720975771841,153.0285058535391,Coffee Shop
72,"Brisbane CBD, Brisbane",-27.466828999999997,153.0273743,Vintaged Bar + Grill,-27.469412470505127,153.02703952426262,Australian Restaurant
