,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Qianmen, Beijing China",39.8987591,116.3916409,Starbucks Reserve (星巴克甄选),39.896580895872,116.39061846906604,Coffee Shop
1,"Qianmen, Beijing China",39.8987591,116.3916409,Blue Note Beijing,39.89974437627925,116.3953921624988,Lounge
2,"Qianmen, Beijing China",39.8987591,116.3916409,Lost Heaven 花马天堂,39.900271912849114,116.39561210153244,Yunnan Restaurant
3,"Qianmen, Beijing China",39.8987591,116.3916409,Page One (叶壹堂),39.896713555388644,116.39084612001301,Bookstore
4,"Qianmen, Beijing China",39.8987591,116.3916409,Bian Yi Fang (便宜坊烤鸭店),39.89507474273276,116.39455046002688,Peking Duck Restaurant
5,"Qianmen, Beijing China",39.8987591,116.3916409,四季民福,39.89581070098308,116.39126210575094,Beijing Restaurant
6,"Qianmen, Beijing China",39.8987591,116.3916409,Soloist Coffee Co.,39.89453189867042,116.38679083123895,Coffee Shop
7,"Qianmen, Beijing China",39.8987591,116.3916409,China Railway Museum (中国铁道博物馆 (正阳门馆) China Railway Museum),39.89835784065791,116.39411956071852,History Museum
8,"Qianmen, Beijing China",39.8987591,116.3916409,Zhengyang Gate (前门),39.89876302253632,116.39172052091162,Monument / Landmark
9,"Qianmen, Beijing China",39.8987591,116.3916409,Starbucks (星巴克),39.896831980399256,116.39173830845957,Coffee Shop
10,"Qianmen, Beijing China",39.8987591,116.3916409,365 Inn,39.893487299063935,116.38618328894457,Hostel
11,"Qianmen, Beijing China",39.8987591,116.3916409,Suzuki Kitchen (铃木食堂),39.894558411369864,116.38730335191907,Japanese Restaurant
12,"Qianmen, Beijing China",39.8987591,116.3916409,Tian'anmen Tower (天安门城楼),39.90656228127186,116.39158218479662,Historic Site
13,"Qianmen, Beijing China",39.8987591,116.3916409,National Centre for the Performing Arts (国家大剧院),39.903935870562655,116.383541414086,Performing Arts Venue
14,"Qianmen, Beijing China",39.8987591,116.3916409,Tian'anmen Square (天安门广场),39.90484766609122,116.39130592346191,Plaza
15,"Qianmen, Beijing China",39.8987591,116.3916409,MUJI HOTEL BEIJING,39.897257430278934,116.38934721082704,Hotel
16,"Qianmen, Beijing China",39.8987591,116.3916409,Voyage Coffee,39.896630695554144,116.38968581909658,Coffee Shop
17,"Qianmen, Beijing China",39.8987591,116.3916409,Berry Beans,39.893059245040824,116.3861236079525,Café
18,"Qianmen, Beijing China",39.8987591,116.3916409,Chairman Mao's Mausoleum (毛主席纪念堂),39.90114397291038,116.39160633087158,Monument / Landmark
19,"Qianmen, Beijing China",39.8987591,116.3916409,Tong Ren Tang (同仁堂),39.89447439449877,116.38996492040829,Pharmacy
