,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Lý Văn Phúc (Chicken Street),21.031232787135988,105.83201370130966,Wings Joint
1,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Bia Hơi 19C Ngọc Hà,21.037279852612887,105.83132657704256,Beer Garden
2,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Bình Minh,21.03145670852749,105.83208733605282,Fried Chicken Joint
3,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Bánh Xèo - Nem Lụi Đà Nẵng,21.034936934481603,105.82550954941514,Vietnamese Restaurant
4,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Pullman Hanoi,21.029920220058624,105.82884669369857,Hotel
5,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Ashima,21.034310272194663,105.82723559023128,Hotpot Restaurant
6,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Lăng Chủ Tịch Hồ Chí Minh (Ho Chi Minh Mausoleum),21.035525003506528,105.83472030630196,Monument / Landmark
7,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Zennova Massage,21.029978946267022,105.82585142634457,Massage Studio
8,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Chân Gà Nướng Việt Hà,21.03047174442838,105.83180499479471,BBQ Joint
9,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Cơm Chay Hà Thành,21.032317944038727,105.82537885516243,Vegetarian / Vegan Restaurant
10,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Highlands Coffee,21.029604747443845,105.82781147887155,Coffee Shop
11,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Polygon Music,21.02992175854496,105.82286169211365,Rock Club
12,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Eté Resto Bar,21.034334589908426,105.82723803347305,Bar
13,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Café Bách Thảo,21.04149700417548,105.83302781691124,Coffee Shop
14,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Hồ Hữu Tiệp (B52 Lake) (Hồ Hữu Tiệp),21.034555551457032,105.82608945628306,Lake
15,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Mỳ Chinh,21.029188595907527,105.83420475356623,Noodle House
16,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Long Vĩ,21.030284380711453,105.83003534118973,Wedding Hall
17,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,REN (蓮),21.030466849127173,105.83423263725868,Japanese Restaurant
18,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Phủ Chủ Tịch (Presidential Palace),21.038247613698505,105.83420428201393,Palace
19,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Chùa Một Cột (One Pillar Pagoda) (Chùa Một Cột),21.035685249987047,105.83367523983044,Temple
20,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Nhà Sàn Bác Hồ (Uncle Ho's Stilt House) (Nhà Sàn Bác Hồ),21.037836442125233,105.8334187811269,Historic Site
21,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Executive Lounge Pullman Hotel,21.03012065586137,105.82874541561304,Lounge
22,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Polygon Music Bar,21.029772552327774,105.82974967942928,Rock Club
23,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Nem Lụi Huế Ăn Là Like Ngõ Xưởng Phim,21.043065746153385,105.83437055635021,Satay Restaurant
24,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Trung Nguyen Coffee,21.03426370638457,105.833582894246,Coffee Shop
25,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Bảo Tàng Chiến Thắng B52 (B52 Victory Museum) (Bảo Tàng Chiến Thắng B52),21.035335152540995,105.82588613033295,History Museum
26,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Tầng Trệt Cosmo,21.032035901277002,105.83707627297017,Café
27,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Vélo Café,21.043388221438782,105.82354583440292,Coffee Shop
28,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Vườn Bách Thảo (Botanical Gardens) (Vườn Bách Thảo),21.04052872039869,105.8310106969198,Botanical Garden
29,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Quảng Trường Ba Đình,21.03670203792178,105.8356761932373,Plaza
30,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Fivimart,21.035946259179138,105.8194637939554,Supermarket
31,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Cutisun Restaurant 120 Hoàng Hoa Thám,21.04142057920197,105.8233127349312,Steakhouse
32,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Bảo Tàng Hồ Chí Minh (Ho Chi Minh Museum) (Bảo Tàng Hồ Chí Minh),21.03557201390834,105.83295593093685,History Museum
33,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Sân Vận Động Hàng Đẫy (Hang Day Stadium),21.02998446423921,105.83250714557579,Soccer Stadium
34,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Kaffeine Pub,21.04241556410119,105.82597597786707,Coffee Shop
35,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Maxx Cafe,21.043063114757324,105.8252387495636,Coffee Shop
36,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Bánh Xèo Nhật Bản Aozora,21.037148310193647,105.8294291208945,Japanese Restaurant
37,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,The Coffee House 259 Kim Mã,21.031346478052477,105.82211144812099,Coffee Shop
38,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Ngầu Coffee,21.028116788071006,105.82623475564863,Coffee Shop
39,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,The Camorra Beer Entertainment,21.02898122581967,105.82366623302795,Beer Bar
40,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Mint Bar @ Pullman Hanoi,21.029603114125095,105.82832743987758,Hotel Bar
41,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Viet cafe,21.03275656172786,105.82709312438965,Café
42,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,An Nhiên CF,21.031746449725546,105.8372259112718,Venezuelan Restaurant
43,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,The Locals,21.043172657948094,105.8250734271445,Bistro
44,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,SpaghettiBox,21.030125049638237,105.82679076105691,Italian Restaurant
45,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,La Cheminee,21.02973030629121,105.82831198694406,Restaurant
46,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Tim Coffee,21.043548442589664,105.82329930412891,Coffee Shop
47,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Like Cafe,21.031964331253434,105.83703735494586,Café
48,"Ba Đình, Hanoi Vietnam",21.036305399999996,105.82898610000001,Đại Cát Foot massage,21.0286077616256,105.82603982188108,Massage Studio
