,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Ashok Vihar, New Delhi India",28.6994533,77.1848256,"Green Chick Chop, Deep Market",28.70114200444471,77.18667166506894,Butcher
1,"Ashok Vihar, New Delhi India",28.6994533,77.1848256,Bakers Stop,28.70049468204667,77.1887157051342,Bakery
2,"Ashok Vihar, New Delhi India",28.6994533,77.1848256,Invitation Banquet,28.696018214387546,77.18595287338057,Diner
3,"Ashok Vihar, New Delhi India",28.6994533,77.1848256,Gola Northend,28.701242298922228,77.18928847927491,Indian Restaurant
4,"Bawana, New Delhi India",28.79966,77.03288470000001,Rajiv Gandhi Stadium,28.801811263649693,77.02875137329102,Playground
5,"Dhaka, New Delhi India",28.70869755,77.20574900932183,Pizza Hut,28.70699614936645,77.20462319719917,Pizza Place
6,"Dhaka, New Delhi India",28.70869755,77.20574900932183,Gtb Nagar Railway Station,28.707183121238952,77.20675676115992,Train Station
7,"Dhaka, New Delhi India",28.70869755,77.20574900932183,Axis Bank ATM,28.71035,77.20737,ATM
8,"Dhaka, New Delhi India",28.70869755,77.20574900932183,Axis Bank ATM,28.70715,77.20244,ATM
9,"Keshav Puram, New Delhi India",28.688926399999996,77.16168329999999,Major Dhyanchand Sports Complex.,28.689481966742875,77.16352775733044,Basketball Court
10,"Keshav Puram, New Delhi India",28.688926399999996,77.16168329999999,F - Block Market,28.689744487564482,77.16313459209785,Department Store
11,"Keshav Puram, New Delhi India",28.688926399999996,77.16168329999999,college bus,28.69256019592285,77.16001892089844,Moving Target
12,"Keshav Puram, New Delhi India",28.688926399999996,77.16168329999999,The Master Bakers,28.688380959062787,77.16642590667539,Bakery
13,"Kingsway Camp, New Delhi India",28.613749,77.2121334,Hauz Khas Social,28.6139391,77.20902120000001,Music Venue
14,"Kingsway Camp, New Delhi India",28.613749,77.2121334,Delhi Airport Metro Express,28.613940000000003,77.20902,Light Rail Station
15,"Kingsway Camp, New Delhi India",28.613749,77.2121334,Udyog Bhawan,28.6094658919228,77.21187114715575,Government Building
16,"Model Town, New Delhi India",28.7027136,77.1939912,Pentamed Canteen,28.699219972029947,77.19174820097714,Snack Place
17,"Model Town, New Delhi India",28.7027136,77.1939912,Hot-Pot,28.70226948558904,77.19757654834768,Food Truck
18,"Model Town, New Delhi India",28.7027136,77.1939912,Dunkin',28.705036830843877,77.19006901993055,Donut Shop
19,"Model Town, New Delhi India",28.7027136,77.1939912,Pizza Hut,28.699932838104072,77.19741371246306,Pizza Place
20,"Model Town, New Delhi India",28.7027136,77.1939912,Domino's Pizza,28.704,77.19,Pizza Place
21,"Model Town, New Delhi India",28.7027136,77.1939912,24SEVEN,28.702955914151072,77.19521821369095,Convenience Store
22,"Model Town, New Delhi India",28.7027136,77.1939912,Model Town | मॉडल टाउन Metro Station,28.70277875111137,77.19400744327694,Light Rail Station
23,"Model Town, New Delhi India",28.7027136,77.1939912,McDonald's,28.705638883140022,77.19014763530008,Fast Food Restaurant
24,"Model Town, New Delhi India",28.7027136,77.1939912,Standards Max,28.70562414857449,77.19011394302419,Men's Store
25,"Narela, New Delhi India",28.842609600000003,77.09183540000001,HP World,28.8422697,77.09019599999999,Electronics Store
26,"Pitam Pura, New Delhi India",28.703267600000004,77.1322497,WOODLAND Furnitures Pvt Ltd,28.703032158521967,77.13263224915791,Furniture / Home Store
27,"Pitam Pura, New Delhi India",28.703267600000004,77.1322497,Sagar Ratna,28.702969169565772,77.13246370626295,Indian Restaurant
28,"Pitam Pura, New Delhi India",28.703267600000004,77.1322497,giri momos centre,28.701705,77.133871,Fried Chicken Joint
29,"Rani Bagh, New Delhi India",28.6859821,77.13252446991615,Domino's Pizza,28.688748999999998,77.135049,Pizza Place
30,"Rani Bagh, New Delhi India",28.6859821,77.13252446991615,Chunmun Store,28.68997711346211,77.1346271047693,Department Store
31,"Rani Bagh, New Delhi India",28.6859821,77.13252446991615,Flamingo,28.688272791360912,77.13511542024645,Indian Restaurant
