,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Sahabat Guesthouse,3.1473896231576477,101.7069500745028,Hostel
1,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Halab Arabic Cuisine,3.147739313123638,101.70852708023685,Middle Eastern Restaurant
2,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Dining In The Dark KL,3.1474077102028897,101.708273991401,Restaurant
3,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,良心 Liang Xin Relax Spa,3.1448469419689955,101.70891411090095,Spa
4,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Pinchos,3.1479626549887447,101.70709887292386,Tapas Restaurant
5,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Mongolian BBQ Jalan Alor,3.1469549259061904,101.70856029427944,BBQ Joint
6,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Taps Beer Bar,3.1494090928456058,101.70926161090333,Beer Bar
7,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,KL Valley Reflexology,3.1454282424700613,101.70688927436242,Spa
8,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,The KL Journal,3.1480334570435704,101.710644558601,Hotel
9,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Jalan Alor,3.1464987169020047,101.709551000396,Street Food Gathering
10,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Sobaya Shige,3.146042165841131,101.71167262327208,Udon Restaurant
11,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Chaang - House of Authentic Thai Therapy,3.1448226272839173,101.70720517550394,Spa
12,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,TG's Nasi Kandar,3.1455335110303486,101.70685029650707,Indian Restaurant
13,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Feeka Coffee Roasters,3.1487795958598346,101.70849637742212,Coffee Shop
14,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Saigon Station,3.145312433138805,101.70823329703778,Vietnamese Restaurant
15,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Spec Body Art,3.144519556803706,101.71015417156644,Tattoo Parlor
16,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Verdant Hill Hotel,3.1491181676939934,101.70637095878106,Hotel
17,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Nasi Ayam Hainan Chee Meng,3.1450935489239327,101.70926186768445,Hainan Restaurant
18,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Isetan The Japan Store,3.14593672788221,101.71203732490538,Department Store
19,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Liverpool FC Official Store,3.1465208485287355,101.7118830802046,Sporting Goods Shop
20,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Damascus BBQ,3.14714725861992,101.71127557754515,Lebanese Restaurant
21,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Bottega Mediterranea,3.148249368772793,101.70616005217241,Gourmet Shop
22,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Family Mart,3.1481413168447774,101.71108260426679,Convenience Store
23,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Bijan Bar & Restaurant,3.1483080422311107,101.70590171958885,Malay Restaurant
24,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Monarchy Martial Art Centre,3.148702824962706,101.70570357572042,Gym / Fitness Center
25,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Connoisseur Cafe,3.147726451600532,101.7127076458618,Café
26,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,J’s Gate Dining,3.1465696090210384,101.7117457242088,Japanese Restaurant
27,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Pavilion Elite,3.1484113511636402,101.71257376670836,Shopping Mall
28,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Pulse Ultra Club,3.1478279289718136,101.7125382667962,Music Venue
29,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,BookXcess,3.1473051985901765,101.71277688573844,Bookstore
30,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Blue Boy Vegetarian Food Centre,3.144805,101.70622,Vegetarian / Vegan Restaurant
31,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Angkasa Impian Condominium,3.1463291040909938,101.70682276675251,Residential Building (Apartment / Condo)
32,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,The Tokyo Restaurant,3.146118050035268,101.71202255444078,Café
33,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Thai Odyssey,3.1475848106585733,101.71303458597771,Massage Studio
34,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Salad Atelier,3.1510236020600515,101.70667867729456,Salad Place
35,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Starbucks,3.1507991482624917,101.70664945257244,Coffee Shop
36,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Jade Garden Restaurant,3.1445660236663016,101.7058308437876,Chinese Restaurant
37,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Mitasu,3.149105052513128,101.71100014351387,Japanese Restaurant
38,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Flavors Restaurant,3.1444310440253544,101.7056558286424,Café
39,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,STG Bukit Ceylon,3.148295,101.70640999999999,Café
40,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Subway,3.1443198994688384,101.70594894469902,Sandwich Place
41,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Swiss Garden KL @ The Blue Chip Lounge,3.1444275294042767,101.70571250506259,Lounge
42,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Bobbi Brown,3.1503372319929115,101.70655422240351,Cosmetics Shop
43,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Nero Vivo,3.148367253992391,101.70573573564876,Italian Restaurant
44,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,馳名牛記牛腩麵,3.1453210114265873,101.70681125188291,Asian Restaurant
45,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,De Bread,3.150803398347648,101.70662307050928,Bakery
46,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Bar B Q Tonight,3.1509360220576155,101.70661858507148,Asian Restaurant
47,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,"Kamimura Japanese Restaurant, The Weld",3.1511007688696764,101.70664857269414,Japanese Restaurant
48,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Ngau Kee Beef Noodle,3.1453082728008344,101.70679485192535,Noodle House
49,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Pak Hailam Kopitiam,3.144326591199342,101.70587106312651,Asian Restaurant
50,"Bukit Bintang, Kuala Lumpur Malaysia",3.1471068,101.7086011,Tseng's Kitchen,3.150716278980408,101.70655199849614,Chinese Restaurant
51,"Titiwangsa, Kuala Lumpur Malaysia",3.1731452,101.69593298166299,Hokkaido Seafood Restaurant,3.1713842113295145,101.69569136146076,Seafood Restaurant
52,"Titiwangsa, Kuala Lumpur Malaysia",3.1731452,101.69593298166299,鸿记美景天茶餐室,3.175199327358009,101.69303120194004,Chinese Restaurant
53,"Titiwangsa, Kuala Lumpur Malaysia",3.1731452,101.69593298166299,Kedai Motorsikal Ah Hong Motor Sdn. Bhd.,3.173601600890464,101.69219320467415,Motorcycle Shop
54,"Titiwangsa, Kuala Lumpur Malaysia",3.1731452,101.69593298166299,Swimming Pool,3.1714167336692918,101.69669715499744,Pool
55,"Titiwangsa, Kuala Lumpur Malaysia",3.1731452,101.69593298166299,AC Hotel by Marriott Kuala Lumpur,3.1715387549705425,101.69559903768548,Hotel
56,"Titiwangsa, Kuala Lumpur Malaysia",3.1731452,101.69593298166299,"Orange Bike Shop (KTM Service Centre), Jalan Ipoh",3.1705470315722835,101.6939657321434,Motorcycle Shop
57,"Titiwangsa, Kuala Lumpur Malaysia",3.1731452,101.69593298166299,Awesome kacang pool ipd sentul,3.173287386367439,101.69171489090779,Café
58,"Titiwangsa, Kuala Lumpur Malaysia",3.1731452,101.69593298166299,Ras Balouch Restaurant,3.169428203767279,101.69568980744171,Asian Restaurant
59,"Titiwangsa, Kuala Lumpur Malaysia",3.1731452,101.69593298166299,Restoran Kwong Chun,3.1694397151727856,101.69716554734042,Chinese Restaurant
60,"Titiwangsa, Kuala Lumpur Malaysia",3.1731452,101.69593298166299,Restoren Al-Mehran,3.1707443431926183,101.69527412345869,Halal Restaurant
