,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"City of Westminster, London UK",51.4973206,-0.137149,Iris & June,51.496790999999995,-0.136011,Coffee Shop
1,"City of Westminster, London UK",51.4973206,-0.137149,Vagabond,51.49754955939036,-0.14373068106537867,Wine Bar
2,"City of Westminster, London UK",51.4973206,-0.137149,Apollo Victoria Theatre,51.49562175399682,-0.14268941294802595,Theater
3,"City of Westminster, London UK",51.4973206,-0.137149,Bleecker Burger,51.496754308451365,-0.14467173971808855,Burger Joint
4,"City of Westminster, London UK",51.4973206,-0.137149,Pimlico Fresh,51.49245583839453,-0.14018580975487518,Café
5,"City of Westminster, London UK",51.4973206,-0.137149,St James's Park,51.50325316049429,-0.1329946517944336,Park
6,"City of Westminster, London UK",51.4973206,-0.137149,The English Rose Cafe And Tea Shop,51.498144219380656,-0.14443666192968085,English Restaurant
7,"City of Westminster, London UK",51.4973206,-0.137149,Buckingham Palace Garden,51.50078209262846,-0.14548301696777344,Garden
8,"City of Westminster, London UK",51.4973206,-0.137149,Buckingham Palace,51.50095573961221,-0.14312267303466794,Palace
9,"City of Westminster, London UK",51.4973206,-0.137149,Lime Orange,51.495496451861364,-0.1421165432571259,Korean Restaurant
10,"City of Westminster, London UK",51.4973206,-0.137149,Leon,51.49401407055144,-0.14626754987810384,Fast Food Restaurant
11,"City of Westminster, London UK",51.4973206,-0.137149,Tate Britain,51.49119040859932,-0.12787195475539193,Art Museum
12,"City of Westminster, London UK",51.4973206,-0.137149,Elizabeth Tower (Big Ben) (Big Ben (Elizabeth Tower)),51.50062,-0.124578,Monument / Landmark
13,"City of Westminster, London UK",51.4973206,-0.137149,Green Park,51.50465559886703,-0.14378786087036133,Park
14,"City of Westminster, London UK",51.4973206,-0.137149,Dukes Bar,51.50563202779671,-0.13948063229561594,Hotel Bar
15,"City of Westminster, London UK",51.4973206,-0.137149,Victoria Tower Gardens,51.49672923934478,-0.12501576353172372,Park
16,"City of Westminster, London UK",51.4973206,-0.137149,Coya London,51.50430866903813,-0.14774130664594515,Latin American Restaurant
17,"City of Westminster, London UK",51.4973206,-0.137149,Delizie D'italia,51.48790384217649,-0.14058383856477505,Deli / Bodega
18,"City of Westminster, London UK",51.4973206,-0.137149,InterContinental London Park Lane,51.5036475,-0.1502842,Hotel
19,"City of Westminster, London UK",51.4973206,-0.137149,Spa at Four Seasons Hotel,51.504411755003005,-0.15012141113856853,Spa
20,"City of Westminster, London UK",51.4973206,-0.137149,Four Seasons Hotel,51.50452203516731,-0.1499783992767334,Hotel
21,"City of Westminster, London UK",51.4973206,-0.137149,The Lanesborough,51.50265494475375,-0.15261616449456278,Hotel
22,"City of Westminster, London UK",51.4973206,-0.137149,Library Bar,51.50269456732321,-0.15242262457574102,Cocktail Bar
23,"City of Westminster, London UK",51.4973206,-0.137149,Horse Guards Parade,51.50484733116024,-0.12659034740377378,Plaza
24,"City of Westminster, London UK",51.4973206,-0.137149,Tramp,51.50833189329173,-0.13783554875328055,Nightclub
25,"City of Westminster, London UK",51.4973206,-0.137149,Institute of Contemporary Arts (ICA),51.506265010667526,-0.13081669807434082,Art Gallery
26,"City of Westminster, London UK",51.4973206,-0.137149,Loulou's,51.50633532642817,-0.1474951374875801,Social Club
27,"City of Westminster, London UK",51.4973206,-0.137149,The Wellesley Knightsbridge,51.50239237478007,-0.15361986011885165,Hotel
28,"City of Westminster, London UK",51.4973206,-0.137149,Novikov,51.507767103762376,-0.14284957683152608,Asian Restaurant
29,"City of Westminster, London UK",51.4973206,-0.137149,Hyde Park Corner,51.503039451809734,-0.1527571678161621,Plaza
30,"City of Westminster, London UK",51.4973206,-0.137149,Cigar Terrace,51.502694049330046,-0.15378453806270292,Roof Deck
31,"City of Westminster, London UK",51.4973206,-0.137149,Little House,51.5069710780994,-0.14692798986768432,Hotel
32,"City of Westminster, London UK",51.4973206,-0.137149,Trafalgar Square,51.507987,-0.128048,Plaza
33,"City of Westminster, London UK",51.4973206,-0.137149,Milos,51.50811719446084,-0.13334124484466278,Greek Restaurant
34,"City of Westminster, London UK",51.4973206,-0.137149,East Trafalgar Square Fountain,51.5080880516331,-0.12769997119903564,Fountain
35,"City of Westminster, London UK",51.4973206,-0.137149,National Gallery,51.50887601013219,-0.1284778118133545,Art Museum
36,"City of Westminster, London UK",51.4973206,-0.137149,L'ETO Caffè,51.49865091970132,-0.1569692644544991,Café
37,"City of Westminster, London UK",51.4973206,-0.137149,Corinthia Hotel,51.506606723475606,-0.12446016991110907,Hotel
38,"City of Westminster, London UK",51.4973206,-0.137149,Carpo Piccadilly,51.50956385935709,-0.1355359951960031,Gourmet Shop
39,"City of Westminster, London UK",51.4973206,-0.137149,Whitehall Gardens,51.506353735053956,-0.12289968472873268,Garden
