,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Carlton, Melbourne",-37.8001,144.9671,Pidapipó Gelateria,-37.7983,144.96706,Ice Cream Shop
1,"Carlton, Melbourne",-37.8001,144.9671,Carlton Wine Room,-37.798584000000005,144.96861,Wine Bar
2,"Carlton, Melbourne",-37.8001,144.9671,D.O.C. Pizza & Mozzarella Bar,-37.798953999999995,144.96849,Pizza Place
3,"Carlton, Melbourne",-37.8001,144.9671,Yo-Chi,-37.79865931362405,144.96784897464883,Frozen Yogurt Shop
4,"Carlton, Melbourne",-37.8001,144.9671,Readings,-37.79797079358303,144.96740477790618,Bookstore
5,"Carlton, Melbourne",-37.8001,144.9671,King & Godfree,-37.798573952270964,144.96725879458148,Deli / Bodega
6,"Carlton, Melbourne",-37.8001,144.9671,Gewürzhaus,-37.79905,144.96748,Gourmet Shop
7,"Carlton, Melbourne",-37.8001,144.9671,Baker D. Chirico,-37.79878836333732,144.96849936913677,Bakery
8,"Carlton, Melbourne",-37.8001,144.9671,Cinema Nova,-37.797993,144.96793,Indie Movie Theater
9,"Carlton, Melbourne",-37.8001,144.9671,Milk the Cow,-37.797781,144.967295,Cheese Shop
10,"Carlton, Melbourne",-37.8001,144.9671,Wolf's Lair,-37.79745592719983,144.9671213984645,Bar
11,"Carlton, Melbourne",-37.8001,144.9671,Assembly Coffee & Tea,-37.80275,144.96729,Coffee Shop
12,"Carlton, Melbourne",-37.8001,144.9671,La Mama,-37.79900949468068,144.9676667050463,Indie Theater
13,"Carlton, Melbourne",-37.8001,144.9671,Shakahari,-37.798922999999995,144.96783,Vegetarian / Vegan Restaurant
14,"Carlton, Melbourne",-37.8001,144.9671,Casa Del Gelato,-37.80189267545661,144.96668093075078,Ice Cream Shop
15,"Carlton, Melbourne",-37.8001,144.9671,Donnini's Restaurant,-37.799489958174334,144.96723085680696,Italian Restaurant
16,"Carlton, Melbourne",-37.8001,144.9671,Koko Black,-37.80180448068034,144.9667231937821,Dessert Shop
17,"Carlton, Melbourne",-37.8001,144.9671,Heartattack and Vine,-37.797634,144.96729,Café
18,"Carlton, Melbourne",-37.8001,144.9671,The Vertue of the Coffee Drink,-37.79764825840715,144.96836521568412,Coffee Shop
19,"Carlton, Melbourne",-37.8001,144.9671,Le Miel et la lune,-37.79701351485382,144.9662078993364,Café
