,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Addington Coffee Co-op,-43.543589653860906,172.6115952431628,Coffee Shop
1,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,North & South Gourmet (南北小厨),-43.54390934309721,172.61151172434754,Asian Restaurant
2,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Mosiac by Simo,-43.54388080840544,172.61157986890626,Falafel Restaurant
3,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,The Court Theatre,-43.5413634561601,172.61030887912204,Theater
4,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Morrell & Co.,-43.544318282801896,172.61063435348098,Bar
5,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Afghan Restaurant,-43.54319051420304,172.61253101040938,Middle Eastern Restaurant
6,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Tower Junction Mega Centre,-43.53880508189773,172.60617632878447,Shopping Mall
7,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,South Hagley Park,-43.53573163326615,172.61838912963867,Park
8,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,New York Deli,-43.540659917148545,172.61634059134678,Sandwich Place
9,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Orangetheory Stadium,-43.54435756726422,172.60439754543305,Stadium
10,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Luciano Espresso Bar,-43.54027738063394,172.62335213841487,Café
11,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,The Pedal Pusher,-43.544245998756736,172.61081504907867,Gastropub
12,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Oddfellows Cafe,-43.54209379911208,172.6221219501393,Café
13,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Coffee Culture,-43.54218890245123,172.61408748570756,Coffee Shop
14,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Retropolitan Social Lounge,-43.541423370317275,172.61514203813672,Café
15,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Burger King,-43.54209043461778,172.61456136321559,Fast Food Restaurant
16,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Domino's Pizza,-43.54373512452996,172.6116458783436,Pizza Place
17,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Christchurch Train Station,-43.53980539262511,172.6080154794763,Train Station
18,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Horncastle Arena,-43.54562268385801,172.60145383949285,Performing Arts Venue
19,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Jailhouse Accommodation Hostel,-43.54323575444764,172.61383346613465,Hostel
20,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Animates,-43.53902902634473,172.60784219098068,Pet Store
21,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,BB's Cafe,-43.53814484851439,172.6062312949678,Café
22,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Addington Raceway,-43.54418036661036,172.6011882287078,Racetrack
23,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Raeward Fresh,-43.54014644922903,172.60510854565723,Fruit & Vegetable Store
24,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Bivuoac Outlet Store,-43.539173,172.604783,Sporting Goods Shop
25,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Ballingers Hunting & Fishing,-43.538660993059864,172.60422999861245,Sporting Goods Shop
26,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Swanndri Outlet Store,-43.53843026663327,172.60433948347526,Clothing Store
27,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Speight's Ale House,-43.53971467431387,172.60460926579003,Pub
28,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Bodyworks Massage Therapy,-43.54899718216186,172.6048232038992,Massage Studio
29,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Addington Event Centre,-43.5441413853321,172.60110377097007,Racetrack
30,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Spectators,-43.54410957560542,172.60108265651937,Café
31,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Canterbury Rugby Members Lounge,-43.54423635295438,172.60098559802844,Rugby Pitch
32,"Addington, Christchurch New Zealand",-43.5429362,172.61258490000003,Lot 55 Café,-43.54529006094729,172.60123097241961,Café
33,"Aranui, Christchurch New Zealand",-43.5144829,172.70823659107043,NACBMX,-43.51073928148025,172.7080384265064,Sports Club
34,"Aranui, Christchurch New Zealand",-43.5144829,172.70823659107043,Bexley Park,-43.514572568073675,172.7144099494059,Park
35,"Aranui, Christchurch New Zealand",-43.5144829,172.70823659107043,Eastern Pharmacy,-43.517296,172.701897,Pharmacy
36,"Aranui, Christchurch New Zealand",-43.5144829,172.70823659107043,Anzac Drive,-43.51183953682353,172.714873692764,Park
37,"Aranui, Christchurch New Zealand",-43.5144829,172.70823659107043,C&C Chicken & Cornbread,-43.510788,172.71701000000002,Fried Chicken Joint
38,"Avondale, Christchurch New Zealand",-43.50290220000001,172.68741809999997,Avondale Park,-43.504468,172.689979,Park
38,"Avondale, Auckland City New Zealand",-43.50290220000001,172.68741809999997,Avondale Park,-43.504468,172.689979,Park
