,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Alexandria, Sydney",-33.9091568,151.1921281,The Grounds of Alexandria,-33.91077412580883,151.19440553451798,Café
1,"Alexandria, Sydney",-33.9091568,151.1921281,The Potting Shed at The Grounds,-33.91109417652144,151.1943062077886,Bar
2,"Alexandria, Sydney",-33.9091568,151.1921281,Pino’s Vino e Cucina,-33.90548,151.19095,Italian Restaurant
3,"Alexandria, Sydney",-33.9091568,151.1921281,The Grounds Markets,-33.911844,151.194729,Flea Market
4,"Alexandria, Sydney",-33.9091568,151.1921281,Alexandria Basketball Stadium,-33.90835836037352,151.19557794378534,Basketball Court
5,"Alexandria, Sydney",-33.9091568,151.1921281,La Cachette,-33.904849335877465,151.18972655064954,Café
6,"Alexandria, Sydney",-33.9091568,151.1921281,L'Americano,-33.91024132071688,151.1986529032559,Café
7,"Alexandria, Sydney",-33.9091568,151.1921281,The Copper Mill,-33.906068343692205,151.18842570877658,Café
8,"Alexandria, Sydney",-33.9091568,151.1921281,Blackbird & Co,-33.90661153221235,151.18786139313968,Café
9,"Alexandria, Sydney",-33.9091568,151.1921281,The Grounds Coffee Roastery,-33.91073344478825,151.19429426643546,Australian Restaurant
10,"Alexandria, Sydney",-33.9091568,151.1921281,Al Aseel,-33.912632242714984,151.1934622975851,Lebanese Restaurant
11,"Alexandria, Sydney",-33.9091568,151.1921281,Lunatiques Vintage and Design Collective,-33.906350126326245,151.19919677533437,Furniture / Home Store
12,"Alexandria, Sydney",-33.9091568,151.1921281,Rocks Brewing Co,-33.916182638545536,151.1914138466234,Brewery
13,"Alexandria, Sydney",-33.9091568,151.1921281,Don Campos,-33.902110525957205,151.19521504750568,Coffee Shop
14,"Alexandria, Sydney",-33.9091568,151.1921281,Weighbridge Cafe,-33.907979284574,151.19740170333722,Café
15,"Alexandria, Sydney",-33.9091568,151.1921281,Dan Murphy's,-33.902600875916036,151.1953128421829,Liquor Store
16,"Alexandria, Sydney",-33.9091568,151.1921281,COOH Cafe & Roaster,-33.91047594760952,151.19565963542615,Café
17,"Alexandria, Sydney",-33.9091568,151.1921281,Sydney Park,-33.908056775759036,151.18265590026184,Park
18,"Alexandria, Sydney",-33.9091568,151.1921281,Cafe Without A Name,-33.90347502882219,151.19878003283864,Café
19,"Alexandria, Sydney",-33.9091568,151.1921281,Mecca Roastery + Cafe,-33.90664,151.20004,Café
20,"Alexandria, Sydney",-33.9091568,151.1921281,Sub-Station Cafe,-33.903020947430576,151.19562846383013,Café
21,"Alexandria, Sydney",-33.9091568,151.1921281,Petbarn,-33.9039808898309,151.1933946897501,Pet Store
22,"Alexandria, Sydney",-33.9091568,151.1921281,Victoria's Basement,-33.90430796648564,151.1934103504623,Furniture / Home Store
23,"Alexandria, Sydney",-33.9091568,151.1921281,Ola Lola,-33.91599582228373,151.19548334674352,Café
24,"Alexandria, Sydney",-33.9091568,151.1921281,Sky Zone,-33.916537392339016,151.19268371208548,Recreation Center
25,"Alexandria, Sydney",-33.9091568,151.1921281,All Sorts Fitness and Wellbeing Centre,-33.91691031596909,151.1904162504111,Gym / Fitness Center
26,"Alexandria, Sydney",-33.9091568,151.1921281,Bread and Circus,-33.90215289380591,151.19532066988046,Café
27,"Alexandria, Sydney",-33.9091568,151.1921281,Alexandria Seafoods,-33.90331690240309,151.19099083759303,Seafood Restaurant
28,"Alexandria, Sydney",-33.9091568,151.1921281,Chicky Char Char,-33.90278692771363,151.1959168293032,BBQ Joint
29,"Alexandria, Sydney",-33.9091568,151.1921281,Woolworths,-33.90281428067222,151.1948250879301,Supermarket
30,"Alexandria, Sydney",-33.9091568,151.1921281,Bake Bar,-33.90271644103114,151.19641725726134,Bakery
31,"Alexandria, Sydney",-33.9091568,151.1921281,Pana Chocolate,-33.90238,151.1956,Dessert Shop
32,"Alexandria, Sydney",-33.9091568,151.1921281,Sydney Park Kiosk,-33.909274638168284,151.18285090305406,Café
33,"Alexandria, Sydney",-33.9091568,151.1921281,Nguyen Brothers,-33.902275781330694,151.19543023173884,Vietnamese Restaurant
34,"Alexandria, Sydney",-33.9091568,151.1921281,The Good Guys,-33.91465878110695,151.1948437304866,Electronics Store
35,"Alexandria, Sydney",-33.9091568,151.1921281,Crave,-33.906773216074434,151.19247273005746,Café
36,"Alexandria, Sydney",-33.9091568,151.1921281,Parkview Hotel,-33.90306524992324,151.1916105504814,Pub
37,"Alexandria, Sydney",-33.9091568,151.1921281,The Base Warehouse Party Store,-33.90352369075686,151.1949959299025,Costume Shop
38,"Alexandria, Sydney",-33.9091568,151.1921281,0.6,-33.904099540948465,151.19543552398682,Café
39,"Alexandria, Sydney",-33.9091568,151.1921281,Sushi Jones,-33.902245,151.19513999999998,Japanese Restaurant
40,"Alexandria, Sydney",-33.9091568,151.1921281,Grandma's at McEvoy,-33.90415,151.19436000000002,Café
41,"Alexandria, Sydney",-33.9091568,151.1921281,Archie Brothers Electric Circus,-33.916174717532776,151.19303889668114,Arcade
42,"Alexandria, Sydney",-33.9091568,151.1921281,FSW Shoe Warehouse,-33.902494597402985,151.19647296216874,Shoe Store
43,"Alexandria, Sydney",-33.9091568,151.1921281,The Atrium Garden Terrace,-33.910829,151.194274,Flower Shop
44,"Alexandria, Sydney",-33.9091568,151.1921281,Doody Bird Cafe,-33.91456702800993,151.19275953492397,Café
45,"Alexandria, Sydney",-33.9091568,151.1921281,Coco Republic,-33.91056,151.1988,Furniture / Home Store
46,"Alexandria, Sydney",-33.9091568,151.1921281,Sydney Park C.A.R.E.S. Facility,-33.90774581804577,151.18527935269688,Playground
47,"Alexandria, Sydney",-33.9091568,151.1921281,Astori's Cafe,-33.91673055474193,151.19015128212592,Sandwich Place
48,"Alexandria, Sydney",-33.9091568,151.1921281,Euston Cafe,-33.91289238727793,151.18606468967096,Café
49,"Alexandria, Sydney",-33.9091568,151.1921281,Bus Stop 2015,-33.902671967506315,151.19149458079934,Bus Station
50,"Alexandria, Sydney",-33.9091568,151.1921281,Kelly Country,-33.904191,151.186872,Men's Store
51,"Alexandria, Sydney",-33.9091568,151.1921281,Fluid Espresso,-33.912135769037945,151.19985543237092,Café
52,"Alexandria, Sydney",-33.9091568,151.1921281,Taylor Thai,-33.90419745194319,151.18601347192313,Thai Restaurant
53,"Alexandria, Sydney",-33.9091568,151.1921281,Alexandria-Erskineville Bowling Club,-33.90237344241012,151.1893533725426,Bowling Green
54,"Alexandria, Sydney",-33.9091568,151.1921281,Ghermez Cupcakes,-33.90269237679497,151.1964267955327,Cupcake Shop
55,"Alexandria, Sydney",-33.9091568,151.1921281,Allsorts gym and Well Being centre,-33.916851321182136,151.19016216331983,Gym
56,"Alexandria, Sydney",-33.9091568,151.1921281,Zona Azzurri,-33.917075,151.191497,Italian Restaurant
57,"Annandale, Sydney",-33.881223999999996,151.1709976,Fat Fish,-33.88136977345241,151.17077466124925,Fish & Chips Shop
58,"Annandale, Sydney",-33.881223999999996,151.1709976,Bar Sirocco Cafe,-33.88172568264278,151.1715499598807,Café
59,"Annandale, Sydney",-33.881223999999996,151.1709976,Cornersmith,-33.879027,151.172506,Café
60,"Annandale, Sydney",-33.881223999999996,151.1709976,Clover Cafe,-33.88129,151.16986,Café
61,"Annandale, Sydney",-33.881223999999996,151.1709976,Vinery Foods,-33.88089,151.17125,Australian Restaurant
62,"Annandale, Sydney",-33.881223999999996,151.1709976,Revolver,-33.875853891532756,151.17175894545178,Café
63,"Annandale, Sydney",-33.881223999999996,151.1709976,Wayward Brewing Co.,-33.88588028199361,151.175035937506,Brewery
