,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Adachi, Tokyo Japan",35.783703,139.795319,どんどん 梅島店,35.77847244983239,139.79971276835008,BBQ Joint
1,"Adachi, Tokyo Japan",35.783703,139.795319,Emblem Hostel Nishiarai (エンブレム ホステル 西新井),35.778153064115855,139.79131660713043,Hostel
2,"Adachi, Tokyo Japan",35.783703,139.795319,THE SPA 西新井,35.774935107092354,139.79015612240033,Spa
3,"Adachi, Tokyo Japan",35.783703,139.795319,パティスリー ラヴィアンレーヴ,35.77571,139.797472,Pastry Shop
4,"Adachi, Tokyo Japan",35.783703,139.795319,Tanaka Shoten (田中商店),35.78459144264811,139.81089416444814,Ramen Restaurant
5,"Adachi, Tokyo Japan",35.783703,139.795319,Furyu (ふうりゅう),35.77229591999494,139.79748085141182,Noodle House
6,"Adachi, Tokyo Japan",35.783703,139.795319,MEGA Don Quijote (MEGAドン・キホーテ 環七梅島店),35.778288,139.804967,Discount Store
7,"Adachi, Tokyo Japan",35.783703,139.795319,Adachi Park of Living Things (足立区生物園),35.792397800071576,139.80711255702005,Zoo
8,"Adachi, Tokyo Japan",35.783703,139.795319,Daiso (ダイソー),35.77972549681484,139.8110763190537,Discount Store
9,"Adachi, Tokyo Japan",35.783703,139.795319,ペットのコジマ,35.775645000000004,139.786114,Pet Store
10,"Adachi, Tokyo Japan",35.783703,139.795319,Ramen Fujimaru (ラーメン富士丸 西新井大師店),35.77824495515422,139.7789211489726,Ramen Restaurant
11,"Adachi, Tokyo Japan",35.783703,139.795319,Tetsumaru (味噌らーめんと中華 てつまる),35.79927820596252,139.78929072618484,Ramen Restaurant
12,"Adachi, Tokyo Japan",35.783703,139.795319,TOHO Cinemas (TOHOシネマズ西新井),35.774659035233114,139.7858440876007,Multiplex
13,"Adachi, Tokyo Japan",35.783703,139.795319,カウボーイ家族 本木店,35.771521949369,139.78484381842296,Steakhouse
