,Address,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Halliwell Manor,34.069328534140894,-118.25416524263123,Performing Arts Venue
1,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Eightfold Coffee,34.071244903595876,-118.25069827337198,Coffee Shop
2,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Guisados,34.07026183469215,-118.25043738234746,Taco Place
3,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,"Michael Jackson's ""Thriller"" House (and Tree)",34.069557379373215,-118.2545992004816,Historic Site
4,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Tsubaki,34.07293766907906,-118.25129829595535,Japanese Restaurant
5,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Ototo,34.074399348102844,-118.25401639951453,Sake Bar
6,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Subliminal Projects,34.072290151972126,-118.25073731121631,Art Gallery
7,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Bar Henry,34.06906170506543,-118.2504651324914,Cocktail Bar
8,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,The Park's Finest BBQ,34.06651930066153,-118.2542906745739,BBQ Joint
9,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Bob's Market,34.0678119177423,-118.25193897390322,Convenience Store
10,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,The Park Restaurant,34.07424337502603,-118.25224213899021,Breakfast Spot
11,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,K Bakery,34.06612437290088,-118.25405857193756,Bakery
12,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Guisados,34.07117788947438,-118.25027250755268,Taco Place
13,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Domino's Pizza,34.0735284,-118.2511872,Pizza Place
14,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Super 8,34.07272231169144,-118.25089878784469,Motel
15,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Knights Inn,34.06620105720252,-118.25395441175293,Hotel
16,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Lento Market,34.070979,-118.250862,Market
17,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Blood is the New Black,34.070938,-118.250793,Clothing Store
18,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Echo Park Boxing,34.071057986044465,-118.25078644449236,Boxing Gym
19,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Tacos Los Primos,34.06697401695156,-118.25291641114242,Food Truck
20,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Taqueria El Atacor #6,34.073196,-118.251669,Taco Place
21,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,ESQUELETO,34.072412315270036,-118.25078644449236,Jewelry Store
22,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Sunset Tropical Fish,34.073475,-118.251195,Pet Store
23,"Angelino Heights, Los Angeles US",34.070288899999994,-118.25479650000001,Sick City Records,34.073475,-118.251195,Record Shop
