,Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Carlton,-37.8001,144.9671,Pidapipó Gelateria,-37.7983,144.96706,Ice Cream Shop
1,Carlton,-37.8001,144.9671,Carlton Wine Room,-37.798584,144.96861,Wine Bar
2,Carlton,-37.8001,144.9671,D.O.C. Pizza & Mozzarella Bar,-37.798954,144.96849,Pizza Place
3,Carlton,-37.8001,144.9671,Yo-Chi,-37.79865931362405,144.96784897464883,Frozen Yogurt Shop
4,Carlton,-37.8001,144.9671,King & Godfree,-37.798573952270964,144.96725879458148,Deli / Bodega
5,Carlton,-37.8001,144.9671,Gewürzhaus,-37.79905,144.96748,Gourmet Shop
6,Carlton,-37.8001,144.9671,Baker D. Chirico,-37.79878836333733,144.96849936913674,Bakery
7,Carlton,-37.8001,144.9671,Readings,-37.797970793583026,144.96740477790618,Bookstore
8,Carlton,-37.8001,144.9671,La Mama,-37.79900949468068,144.9676667050463,Indie Theater
9,Carlton,-37.8001,144.9671,Cinema Nova,-37.797993,144.96793,Indie Movie Theater
10,Carlton,-37.8001,144.9671,Shakahari,-37.798923,144.96783,Vegetarian / Vegan Restaurant
11,Carlton,-37.8001,144.9671,Casa Del Gelato,-37.801892675456614,144.96668093075078,Ice Cream Shop
12,Carlton,-37.8001,144.9671,Donnini's Restaurant,-37.799489958174334,144.96723085680696,Italian Restaurant
13,Carlton,-37.8001,144.9671,Milk the Cow,-37.797781,144.967295,Cheese Shop
14,Carlton,-37.8001,144.9671,Koko Black,-37.801804480680346,144.9667231937821,Dessert Shop
15,Carlton,-37.8001,144.9671,Wolf's Lair,-37.79745592719983,144.9671213984645,Bar
16,Carlton,-37.8001,144.9671,Market Lane Coffee,-37.798637,144.96846,Coffee Shop
17,Carlton,-37.8001,144.9671,La Parisienne Pates,-37.80016,144.9673,Deli / Bodega
18,Carlton,-37.8001,144.9671,Assembly Coffee & Tea,-37.80275,144.96729,Coffee Shop
19,Carlton,-37.8001,144.9671,Brunetti,-37.798105354150536,144.96782697931576,Café
20,Carlton,-37.8001,144.9671,Heartattack and Vine,-37.797634,144.96729,Café
21,Carlton,-37.8001,144.9671,D.O.C Espresso,-37.7992267525471,144.9672400645725,Italian Restaurant
22,Carlton,-37.8001,144.9671,The Vertue of the Coffee Drink,-37.79764825840715,144.96836521568414,Coffee Shop
23,Carlton,-37.8001,144.9671,Colourful Yunnan,-37.80053461393883,144.96407037943607,Yunnan Restaurant
24,Carlton,-37.8001,144.9671,Papa Gino's,-37.80018959534841,144.9670265097251,Italian Restaurant
25,Carlton,-37.8001,144.9671,Le Miel et la lune,-37.79701351485382,144.9662078993364,Café
26,Carlton,-37.8001,144.9671,New York Minute,-37.798832,144.96635,Burger Joint
27,Carlton,-37.8001,144.9671,La Spaghettata,-37.80154226768831,144.96686034835102,Italian Restaurant
28,Carlton,-37.8001,144.9671,Vincent The Dog,-37.797687720891474,144.9689620150097,Café
29,Carlton,-37.8001,144.9671,Grill'd,-37.798764343925626,144.9675889661531,Burger Joint
30,Carlton,-37.8001,144.9671,Leyalina,-37.801125,144.96649,Egyptian Restaurant
31,Carlton,-37.8001,144.9671,Trotters,-37.797594843446454,144.96753898067425,Italian Restaurant
32,Carlton,-37.8001,144.9671,Universal Restaurant,-37.8038693,144.9661093,Italian Restaurant
33,Carlton,-37.8001,144.9671,Paris Go Bistro,-37.796944,144.97087,Wine Bar
34,Carlton,-37.8001,144.9671,Campos Coffee,-37.797214,144.969731,Coffee Shop
35,Carlton,-37.8001,144.9671,Ying Thai 2,-37.804402,144.966488,Thai Restaurant
36,Carlton,-37.8001,144.9671,Norsiah's Kitchen,-37.80211031502588,144.96355868071785,Malay Restaurant
37,Carlton,-37.8001,144.9671,D.O.C. Delicatessen,-37.79923188878845,144.96725991473778,Gourmet Shop
38,Carlton,-37.8001,144.9671,Mantra Lounge,-37.80055,144.96329,Vegetarian / Vegan Restaurant
39,Carlton,-37.8001,144.9671,Midsquare Coffee,-37.80250850821116,144.96419021328444,Café
40,Carlton,-37.8001,144.9671,Il Dolce Freddo,-37.80424308089377,144.96634792695107,Ice Cream Shop
41,Carlton,-37.8001,144.9671,Saigon Pho,-37.804502056096254,144.96629519157472,Vietnamese Restaurant
42,Carlton,-37.8001,144.9671,House Of Cards,-37.79924326092917,144.96159724128785,Coffee Shop
43,Carlton,-37.8001,144.9671,Abla's Lebanese Restaurant,-37.79756742404744,144.9709505394828,Lebanese Restaurant
44,Carlton,-37.8001,144.9671,Standing Room,-37.797294,144.962919,Coffee Shop
45,Carlton,-37.8001,144.9671,Mercadante Woodfired Pizzeria,-37.80410644478213,144.96632666468736,Italian Restaurant
46,Carlton,-37.8001,144.9671,IGA X-press Carlton,-37.80441668796795,144.96627907602763,Grocery Store
47,Carlton North,-37.7888,144.972,Small Victories,-37.79067569369342,144.9716288757662,Restaurant
48,Carlton North,-37.7888,144.972,Curtain Square,-37.78914406826139,144.9739541243805,Dog Run
49,Carlton North,-37.7888,144.972,Gerald's Bar,-37.78835631892219,144.9720966634273,Wine Bar
50,Carlton North,-37.7888,144.972,La Luna,-37.79106271864788,144.97168428459582,Australian Restaurant
51,Carlton North,-37.7888,144.972,Filou’s Artisan Patissier,-37.787357156174586,144.96944840048096,Bakery
52,Carlton North,-37.7888,144.972,Chin Chin at Koto Moon,-37.79,144.97152,Chinese Restaurant
53,Carlton North,-37.7888,144.972,Kent Hotel,-37.78881279793105,144.97209709117448,Pub
54,Carlton North,-37.7888,144.972,Il Carretto Restaurant,-37.78833269553954,144.97655171917694,Italian Restaurant
55,Carlton North,-37.7888,144.972,Dan O'Connell Hotel,-37.792851312995886,144.97348067816165,Pub
56,Carlton North,-37.7888,144.972,Tre Bicchieri,-37.79055170818904,144.9716919806548,Coffee Shop
57,Carlton North,-37.7888,144.972,North Fitzroy Star,-37.79058082831316,144.97722167166137,Pub
58,Carlton North,-37.7888,144.972,Depot de Pain,-37.78869630231353,144.9719426091789,Café
59,Carlton North,-37.7888,144.972,Bluebonnet Barbecue,-37.79052616203172,144.9770491599623,BBQ Joint
60,Carlton North,-37.7888,144.972,North Cafeteria,-37.788136606478226,144.9720211807178,Café
61,Carlton North,-37.7888,144.972,Royal Oak Hotel,-37.78929859326125,144.97669691354994,Pub
62,Carlton North,-37.7888,144.972,The Local Burger Co,-37.78885672065187,144.97190380784127,Burger Joint
63,Carlton North,-37.7888,144.972,Cafe Alleri,-37.78803,144.97239,Café
64,Carlton North,-37.7888,144.972,Rathdowne Cellars,-37.79035573224358,144.97178560494635,Wine Shop
65,Carlton North,-37.7888,144.972,Clay Fine Food & Health,-37.78805,144.97186,Grocery Store
66,Carlton North,-37.7888,144.972,The Lab Organics,-37.79009,144.97203,Cosmetics Shop
67,Carlton North,-37.7888,144.972,Fledgling Espresso,-37.787789,144.972289,Café
68,Carlton North,-37.7888,144.972,Indya Bistro,-37.790097,144.971768,Indian Restaurant
69,Carlton North,-37.7888,144.972,Drummond Street Median Strip,-37.790717842347895,144.97021586657587,Park
70,Carlton North,-37.7888,144.972,Rhapsody's Cafe,-37.785997,144.972319,Breakfast Spot
71,Carlton North,-37.7888,144.972,Foodworks,-37.79003268406952,144.97546029239345,Supermarket
72,Carlton North,-37.7888,144.972,Convenience 24 Seven Store,-37.79221,144.97166,Convenience Store
73,Carlton North,-37.7888,144.972,Warrior Shoes Australia,-37.78806181099832,144.97626662110443,Shoe Store
74,Carlton North,-37.7888,144.972,Brandon Hotel,-37.79147,144.97479,Gastropub
75,Carlton North,-37.7888,144.972,Tram Stop 18,-37.789600729955154,144.97636642487527,Light Rail Station
76,Carlton North,-37.7888,144.972,Thai Classic,-37.78759,144.97647,Thai Restaurant
77,Carlton North,-37.7888,144.972,El gaucho,-37.78899,144.97676,Argentinian Restaurant
78,Carlton North,-37.7888,144.972,San Remo Ballroom,-37.791309556741076,144.97564558241575,Cocktail Bar
79,Carlton North,-37.7888,144.972,The Urban Alchemist,-37.79153,144.97573,Chiropractor
80,Docklands,-37.81754229999999,144.9394923,Mama Rumaan,-37.8164907445161,144.9437573253545,Middle Eastern Restaurant
81,Docklands,-37.81754229999999,144.9394923,Blended Beard,-37.81963320129184,144.94435532287443,Coffee Shop
82,Docklands,-37.81754229999999,144.9394923,almina,-37.81525,144.93817,Middle Eastern Restaurant
83,Docklands,-37.81754229999999,144.9394923,Berth,-37.81526400439573,144.9418660405232,Seafood Restaurant
84,Docklands,-37.81754229999999,144.9394923,B Club Cafe,-37.81465186557571,144.9401245371665,Café
85,Docklands,-37.81754229999999,144.9394923,The Mill & Bakery,-37.81667005439379,144.9440724051274,Bakery
86,Docklands,-37.81754229999999,144.9394923,Bopha Devi,-37.81489792146922,144.94120768062078,Cambodian Restaurant
87,Docklands,-37.81754229999999,144.9394923,Tap 831,-37.81990266198205,144.94368330936055,Restaurant
88,Docklands,-37.81754229999999,144.9394923,Ron Barrassi Snr Park,-37.81716766452475,144.93429142227288,Park
89,Docklands,-37.81754229999999,144.9394923,Squires Loft,-37.81877970555509,144.943941877109,Steakhouse
90,Docklands,-37.81754229999999,144.9394923,Cafe Bourgeois,-37.81378992036623,144.94106635833285,Café
91,Docklands,-37.81754229999999,144.9394923,Limonetto,-37.814821800052435,144.94219982609263,Ice Cream Shop
92,Docklands,-37.81754229999999,144.9394923,Steakhouse 66,-37.815604324889875,144.9412624755006,Steakhouse
93,Docklands,-37.81754229999999,144.9394923,Black Cod,-37.818137274957316,144.94479669759752,Fish & Chips Shop
94,Docklands,-37.81754229999999,144.9394923,Coffee Gauge,-37.819976580912495,144.94395467174803,Coffee Shop
95,Docklands,-37.81754229999999,144.9394923,Medici Restaurant,-37.81474997845332,144.94228584952208,Italian Restaurant
96,Docklands,-37.81754229999999,144.9394923,Bhoj Indian Restaurant,-37.81507156230348,144.94149898474478,Indian Restaurant
97,Docklands,-37.81754229999999,144.9394923,Replay Cafe,-37.81397328161774,144.9407134421919,Asian Restaurant
98,Docklands,-37.81754229999999,144.9394923,Achelya,-37.81405054010333,144.94278641876056,Turkish Restaurant
99,Docklands,-37.81754229999999,144.9394923,Four Points By Sheraton Melbourne Docklands,-37.8151069,144.9380967,Hotel
100,Docklands,-37.81754229999999,144.9394923,Cargo,-37.81534972951085,144.94166693395468,Restaurant
101,Docklands,-37.81754229999999,144.9394923,Vintam's Bakery,-37.81930774512362,144.943609299971,Vietnamese Restaurant
102,Docklands,-37.81754229999999,144.9394923,Renzo's Bar Cafe Italiano,-37.8149104970419,144.94169013897667,Italian Restaurant
103,Docklands,-37.81754229999999,144.9394923,Gold Leaf Hot Pot & BBQ,-37.81541716782988,144.93965793828005,Chinese Restaurant
104,Docklands,-37.81754229999999,144.9394923,Mecca Bah,-37.815452296418314,144.94149551240886,Middle Eastern Restaurant
105,Docklands,-37.81754229999999,144.9394923,Man | Mo,-37.81494996726622,144.94194935748195,Chinese Restaurant
106,Docklands,-37.81754229999999,144.9394923,IGA X-press O'Marche,-37.81443794454713,144.94076294752634,Grocery Store
107,Docklands,-37.81754229999999,144.9394923,Sushi Sakura,-37.81414917586529,144.93801711660163,Sushi Restaurant
108,Docklands,-37.81754229999999,144.9394923,Watermark Docklands,-37.818615108256694,144.94429362930578,Bar
109,Docklands,-37.81754229999999,144.9394923,Subway,-37.81995518185806,144.94349498234317,Sandwich Place
110,Docklands,-37.81754229999999,144.9394923,Va Bene Pizzeria,-37.81673185283422,144.94373059574497,Pizza Place
111,Docklands,-37.81754229999999,144.9394923,Melbourne City Marina,-37.81571579910327,144.93974819493855,Pier
112,Docklands,-37.81754229999999,144.9394923,Butchers Grill,-37.81575104156353,144.93897914886475,Mediterranean Restaurant
113,Docklands,-37.81754229999999,144.9394923,Four Points By Sheraton Pool & Spa,-37.815433,144.938138,Hotel Pool
114,Docklands,-37.81754229999999,144.9394923,NewQuay Promenade,-37.815240697723375,144.94063529003188,Harbor / Marina
115,Docklands,-37.81754229999999,144.9394923,Waterfront Piazza,-37.81504626113739,144.93905465439585,Plaza
116,Docklands,-37.81754229999999,144.9394923,Buluk Park,-37.819989,144.940557,Park
117,Docklands,-37.81754229999999,144.9394923,Sir Basil,-37.8151,144.94112,Café
118,Docklands,-37.81754229999999,144.9394923,Dock 18,-37.815015,144.93782,Café
119,Docklands,-37.81754229999999,144.9394923,Best Brews,-37.81494,144.937898,Restaurant
120,Docklands,-37.81754229999999,144.9394923,"Liquid Bar, Café & Lounge",-37.814997,144.941625,Tapas Restaurant
121,Docklands,-37.81754229999999,144.9394923,Saluministi,-37.82028,144.94149,Italian Restaurant
122,Docklands,-37.81754229999999,144.9394923,Aussie Steak 'n' Burger,-37.81424323173071,144.94315876211047,Australian Restaurant
123,Docklands,-37.81754229999999,144.9394923,Aquavista Tower,-37.81434116871283,144.9401943450874,Office
124,Docklands,-37.81754229999999,144.9394923,Melbourne Flea: People's Market,-37.81595622329563,144.93565155014096,Flea Market
125,Docklands,-37.81754229999999,144.9394923,Embassy,-37.81414,144.94007,Pool Hall
126,Docklands,-37.81754229999999,144.9394923,Pita Pit,-37.81985,144.94299,Sandwich Place
127,Docklands,-37.81754229999999,144.9394923,BarSabor,-37.814678,144.942509,Restaurant
128,Docklands,-37.81754229999999,144.9394923,Tram Stop D18,-37.82081356160295,144.94183852860522,Tram Station
129,Docklands,-37.81754229999999,144.9394923,The New Quay Hotel,-37.81462036513858,144.9425079900275,Pub
130,Docklands,-37.81754229999999,144.9394923,The Community Hub At The Dock,-37.820595837061894,144.94229660242425,Rafting
131,Docklands,-37.81754229999999,144.9394923,The Lounge Hotel,-37.814681040919986,144.94260561561828,Pub
132,Docklands,-37.81754229999999,144.9394923,Palladio,-37.814111110169925,144.9419847678183,Hotel
133,Docklands,-37.81754229999999,144.9394923,Jeep,-37.813575961491246,144.937968656687,Men's Store
134,Docklands,-37.81754229999999,144.9394923,Shed 2,-37.81918669105979,144.93450275325387,Harbor / Marina
135,Docklands,-37.81754229999999,144.9394923,Waterside Oriental Bistro,-37.81461292711577,144.94375901464977,Chinese Restaurant
136,Docklands,-37.81754229999999,144.9394923,Merchant So.,-37.820277574520844,144.94399020714957,Asian Restaurant
137,East Melbourne,-37.812498,144.9858851,Square & Compass,-37.80963435080498,144.98370171054455,Café
138,East Melbourne,-37.812498,144.9858851,Hard Pressed,-37.816612368659875,144.98754886883714,Café
139,East Melbourne,-37.812498,144.9858851,The Tippler & Co,-37.81651,144.98824,Wine Bar
140,East Melbourne,-37.812498,144.9858851,Kiwi Fish and Chips,-37.81038721931334,144.98520795765592,Fish & Chips Shop
141,East Melbourne,-37.812498,144.9858851,Shopfront Coffee,-37.80905,144.98794,Coffee Shop
142,East Melbourne,-37.812498,144.9858851,GG Restaurant & Bar,-37.81224,144.98354,Australian Restaurant
143,East Melbourne,-37.812498,144.9858851,Prince Patrick Hotel,-37.80910424488754,144.9877249836072,Gastropub
144,East Melbourne,-37.812498,144.9858851,Cohen Cellars Wine Bar,-37.809791373687986,144.9853627121898,Wine Bar
145,East Melbourne,-37.812498,144.9858851,George Street Cafe,-37.815327155972774,144.9892780158272,Café
146,East Melbourne,-37.812498,144.9858851,East Melbourne IGA,-37.809655416966976,144.98551919032602,Grocery Store
147,East Melbourne,-37.812498,144.9858851,twofatindians,-37.81629052248325,144.98443402976864,Indian Restaurant
148,East Melbourne,-37.812498,144.9858851,7-Eleven,-37.81550095137004,144.98497226623897,Convenience Store
149,East Melbourne,-37.812498,144.9858851,Laurent Boulangerie,-37.81627375315688,144.9850569760319,Café
150,East Melbourne,-37.812498,144.9858851,Albert Heights Serviced Apartments,-37.81081,144.98524,Hotel
151,East Melbourne,-37.812498,144.9858851,Magnolia Court Boutique Hotel,-37.81338142492052,144.98545922181114,Hotel
152,East Melbourne,-37.812498,144.9858851,Powlett Reserve,-37.81191961261023,144.98732045562727,Park
153,East Melbourne,-37.812498,144.9858851,Powlett Street Reserve Playground,-37.811108,144.986495,Playground
154,East Melbourne,-37.812498,144.9858851,City Edge Serviced Apartments,-37.81076975156612,144.98579811392347,Hotel
155,East Melbourne,-37.812498,144.9858851,Darling Square,-37.81308745397717,144.98847306795994,Park
156,East Melbourne,-37.812498,144.9858851,East Melbourne Tennis Club,-37.811637638352884,144.9885469558793,Tennis Court
157,East Melbourne,-37.812498,144.9858851,Pullman Melbourne on the Park,-37.8157971,144.9834009,Hotel
158,East Melbourne,-37.812498,144.9858851,IGA plus liquor,-37.80968290710935,144.98543770489763,Grocery Store
159,East Melbourne,-37.812498,144.9858851,Tribeca Pizza,-37.80962,144.98527,Pizza Place
160,East Melbourne,-37.812498,144.9858851,Grocery Bar,-37.80962,144.98527,Café
161,East Melbourne,-37.812498,144.9858851,Pyman's Pharmacy,-37.815504782542156,144.98607783542428,Pharmacy
162,East Melbourne,-37.812498,144.9858851,Jolimont Station,-37.816466373070924,144.98421305978633,Train Station
163,East Melbourne,-37.812498,144.9858851,East Melbourne Cellars,-37.81553377909701,144.9849448863428,Wine Shop
164,East Melbourne,-37.812498,144.9858851,Knightsbridge Apartments Hotel East Melbourne,-37.81560255341016,144.986949281439,Hotel
165,East Melbourne,-37.812498,144.9858851,The Grey Smith,-37.81628,144.9859,Café
166,East Melbourne,-37.812498,144.9858851,Lunch Box,-37.8091,144.98806,Deli / Bodega
167,East Melbourne,-37.812498,144.9858851,East Melbourne General Store,-37.81525791546496,144.98936155869586,Convenience Store
168,East Melbourne,-37.812498,144.9858851,Tram Stop 12,-37.81632151462017,144.9848950567629,Light Rail Station
169,East Melbourne,-37.812498,144.9858851,My Sushi,-37.816229085243485,144.98442103700123,Sushi Restaurant
170,East Melbourne,-37.812498,144.9858851,Il Duca,-37.81641569110532,144.98556370936785,Italian Restaurant
171,East Melbourne,-37.812498,144.9858851,Gallery Restaurant,-37.81573,144.98291,Australian Restaurant
172,East Melbourne,-37.812498,144.9858851,Coffee Etc,-37.816381,144.984488,Café
173,East Melbourne,-37.812498,144.9858851,Victoria Deli,-37.80921,144.98912,Deli / Bodega
174,East Melbourne,-37.812498,144.9858851,Tram Stop 11 (48 & 75),-37.81606449785521,144.9826178214036,Light Rail Station
175,Flemington,-37.78675870000001,144.9193668,Mama Bear,-37.78729957161495,144.92263862462832,Café
176,Flemington,-37.78675870000001,144.9193668,Flemington-Kensington Bowls Club,-37.788120473124835,144.92366383075898,Bowling Green
177,Flemington,-37.78675870000001,144.9193668,1st Choice Liquor Superstore,-37.78308679291153,144.91685343847539,Liquor Store
178,Flemington,-37.78675870000001,144.9193668,Flemington Racecourse,-37.78852844238281,144.91891479492188,Racetrack
179,Flemington,-37.78675870000001,144.9193668,Tram Stop 29 (57),-37.787352,144.92192,Light Rail Station
180,Flemington,-37.78675870000001,144.9193668,Quest Serviced Apartments Flemington,-37.78892,144.922213,Hotel
181,Flemington,-37.78675870000001,144.9193668,Coronet Park,-37.78580054868475,144.92325067520142,Park
182,Flemington,-37.78675870000001,144.9193668,Gate House Pizza,-37.78998061344339,144.92207050323486,Pizza Place
183,Kensington,-37.793937799999995,144.9305645,The Premises,-37.79437179806479,144.93018950128686,Café
