,Cluster Labels,Address,Suburb,Region,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Suburb Latitude,Suburb Longitude
0,0," Barking and Dagenham, London UK", Barking and Dagenham,London UK,Grocery Store,Supermarket,Park,Platform,Bus Stop,Gas Station,Pub,Furniture / Home Store,Café,Shopping Mall,51.5541171,0.150504343
1,0," Barnet, London UK", Barnet,London UK,Coffee Shop,Supermarket,Café,Turkish Restaurant,Pub,Italian Restaurant,Park,Pizza Place,Pharmacy,Grocery Store,51.612523,-0.211444271
2,0," Bexley, London UK", Bexley,London UK,Pub,Grocery Store,Supermarket,Fast Food Restaurant,Coffee Shop,Italian Restaurant,Clothing Store,Hotel,American Restaurant,Indian Restaurant,51.46196875,0.145698567
3,0," Brent, London UK", Brent,London UK,Coffee Shop,Sandwich Place,Indian Restaurant,Grocery Store,Clothing Store,Hotel,Pizza Place,Gym / Fitness Center,Portuguese Restaurant,Pharmacy,51.5638258,-0.275759656
4,0," Bromley, London UK", Bromley,London UK,Pub,Supermarket,Park,Fruit & Vegetable Store,Lake,Turkish Restaurant,Molecular Gastronomy Restaurant,Coffee Shop,Fast Food Restaurant,Platform,51.36685695,0.061709076
5,0," Camden, London UK", Camden,London UK,Pub,Café,Bakery,Movie Theater,Pizza Place,Garden,Coffee Shop,Park,Zoo Exhibit,Beer Store,51.54282705,-0.162488148
6,0," Croydon, London UK", Croydon,London UK,Tram Station,Café,Golf Course,Pub,Park,Hotel,Indian Restaurant,Coffee Shop,Gas Station,Supermarket,51.35505915,-0.064314477
7,0," Ealing, London UK", Ealing,London UK,Pub,Coffee Shop,Park,Italian Restaurant,Gym / Fitness Center,Hotel,Supermarket,Indian Restaurant,Burger Joint,Grocery Store,51.5250711,-0.314311918
8,0," Enfield, London UK", Enfield,London UK,Pub,Supermarket,Coffee Shop,Pizza Place,Grocery Store,Fast Food Restaurant,Turkish Restaurant,Clothing Store,Pharmacy,Gym / Fitness Center,51.64874005,-0.08098
9,0," Greenwich, London UK", Greenwich,London UK,Grocery Store,Pub,Park,Fast Food Restaurant,Café,Chinese Restaurant,Historic Site,Pizza Place,Rugby Pitch,Pharmacy,51.4686295,0.048838287
10,0," Hackney, London UK", Hackney,London UK,Pub,Coffee Shop,Café,Bakery,Cocktail Bar,Park,Brewery,Restaurant,Pizza Place,Wine Shop,51.54902985,-0.047798331
11,0," Hammersmith and Fulham, London UK", Hammersmith and Fulham,London UK,Pub,Café,Coffee Shop,Japanese Restaurant,Bakery,Park,Gastropub,Thai Restaurant,Middle Eastern Restaurant,Persian Restaurant,51.49824335,-0.227820959
12,0," Haringey, London UK", Haringey,London UK,Turkish Restaurant,Pub,Park,Café,Coffee Shop,Grocery Store,Mediterranean Restaurant,Bakery,Gym / Fitness Center,Italian Restaurant,51.58792985,-0.105410106
13,0," Harrow, London UK", Harrow,London UK,Indian Restaurant,Coffee Shop,Park,Pub,Fast Food Restaurant,Sandwich Place,Grocery Store,Gym,Supermarket,Café,51.5967688,-0.337275155
14,0," Havering, London UK", Havering,London UK,Pub,Grocery Store,Italian Restaurant,Coffee Shop,Supermarket,Café,Train Station,Sandwich Place,Park,Bakery,51.55792615,0.249812805
15,0," Hillingdon, London UK", Hillingdon,London UK,Coffee Shop,Pub,Grocery Store,Sandwich Place,Italian Restaurant,Indian Restaurant,Fish & Chips Shop,Supermarket,Gym / Fitness Center,Fast Food Restaurant,51.5425193,-0.448334931
16,0," Hounslow, London UK", Hounslow,London UK,Indian Restaurant,Coffee Shop,Grocery Store,Clothing Store,Bakery,Pub,Hotel,Sandwich Place,Supermarket,Park,51.46185455,-0.379924483
17,0," Islington, London UK", Islington,London UK,Pub,Café,Park,Theater,Coffee Shop,Italian Restaurant,Deli / Bodega,Fish Market,Beer Bar,Mediterranean Restaurant,51.5471563,-0.101693691
18,0," Kensington and Chelsea, London UK", Kensington and Chelsea,London UK,Garden,Supermarket,Restaurant,Gym / Fitness Center,Bakery,Italian Restaurant,Juice Bar,Café,Art Gallery,Pub,51.50363165,-0.200684242
19,0," Kingston upon Thames, London UK", Kingston upon Thames,London UK,Coffee Shop,Grocery Store,Pub,Park,Pharmacy,Supermarket,Korean Restaurant,Fast Food Restaurant,Gym / Fitness Center,Train Station,51.38177625,-0.276987234
20,0," Lambeth, London UK", Lambeth,London UK,Coffee Shop,Pub,Park,Café,Brewery,Pizza Place,Market,Italian Restaurant,Portuguese Restaurant,Bar,51.46021835,-0.121445204
21,0," Lewisham, London UK", Lewisham,London UK,Pub,Café,Coffee Shop,Park,Indian Restaurant,Italian Restaurant,Gastropub,Turkish Restaurant,Bakery,Bar,51.45343165,-0.012510532
22,0," Merton, London UK", Merton,London UK,Pub,Park,Sushi Restaurant,Italian Restaurant,Lebanese Restaurant,Coffee Shop,Burger Joint,Bar,Asian Restaurant,Indian Restaurant,51.41080285,-0.188098506
23,0," Newham, London UK", Newham,London UK,Pub,Hotel,Indian Restaurant,Café,Park,Coffee Shop,Supermarket,Grocery Store,Sandwich Place,Fish & Chips Shop,51.52999955,0.02931796
24,0," Redbridge, London UK", Redbridge,London UK,Grocery Store,Pub,Pizza Place,Indian Restaurant,Hotel,Gym / Fitness Center,Coffee Shop,Park,Playground,Metro Station,51.5863662,0.069759116
25,0," Richmond upon Thames, London UK", Richmond upon Thames,London UK,Pub,Park,Café,Italian Restaurant,Garden,Coffee Shop,Hotel,Supermarket,Bakery,Gastropub,51.44046095,-0.305519236
26,0," Southwark, London UK", Southwark,London UK,Pub,Café,Pizza Place,Park,Bar,Italian Restaurant,Gastropub,Coffee Shop,Burger Joint,Indian Restaurant,51.46542615,-0.069153641
27,0," Sutton, London UK", Sutton,London UK,Pub,Grocery Store,Coffee Shop,Park,Clothing Store,Pizza Place,Supermarket,Café,Pharmacy,Sandwich Place,51.3575114,-0.173640123
28,0," Tower Hamlets, London UK", Tower Hamlets,London UK,Pub,Coffee Shop,Park,Canal Lock,Gym / Fitness Center,Bar,Café,Beer Bar,Hotel,Farm,51.51456185,-0.035012262
29,0," Waltham Forest, London UK", Waltham Forest,London UK,Pub,Coffee Shop,Supermarket,Café,Sandwich Place,Grocery Store,Turkish Restaurant,Pizza Place,Gym / Fitness Center,Brewery,51.59816935,-0.017836675
30,0," Wandsworth, London UK", Wandsworth,London UK,Pub,Park,Coffee Shop,Café,Pizza Place,Supermarket,Tennis Stadium,Tennis Court,French Restaurant,Scenic Lookout,51.4518447,-0.199372243
31,0,"Acacia Ridge, Brisbane",Acacia Ridge,Brisbane,Fast Food Restaurant,Mexican Restaurant,Sandwich Place,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Farmers Market,Farm,Falafel Restaurant,-27.5857312,153.025206
32,0,"Adachi, Tokyo Japan",Adachi,Tokyo Japan,Convenience Store,Ramen Restaurant,Discount Store,Supermarket,Italian Restaurant,Steakhouse,Café,Fast Food Restaurant,Clothing Store,Drugstore,35.783703,139.795319
33,3,"Addington, Christchurch New Zealand",Addington,Christchurch New Zealand,Café,Sporting Goods Shop,Racetrack,Coffee Shop,Pet Store,Hostel,Fast Food Restaurant,Pizza Place,Theater,Falafel Restaurant,-43.5429362,172.6125849
34,0,"Agripada, Mumbai City India",Agripada,Mumbai City India,Bakery,Hostel,Grocery Store,Pool,Athletics & Sports,Coffee Shop,Garden,Fabric Shop,Factory,Falafel Restaurant,18.9753024,72.8248975
35,3,"Albion, Brisbane",Albion,Brisbane,Fast Food Restaurant,Café,Bakery,Sandwich Place,Sushi Restaurant,Train Station,Turkish Restaurant,Indian Restaurant,Comedy Club,Filipino Restaurant,-27.4303642,153.0421201
