,Address,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0," Barking and Dagenham, London UK",Grocery Store,Supermarket,Park,Platform,Bus Stop,Gas Station,Pub,Furniture / Home Store,Café,Shopping Mall
1," Barnet, London UK",Coffee Shop,Supermarket,Café,Turkish Restaurant,Pub,Italian Restaurant,Park,Pizza Place,Pharmacy,Grocery Store
2," Bexley, London UK",Pub,Grocery Store,Supermarket,Fast Food Restaurant,Coffee Shop,Italian Restaurant,Clothing Store,Hotel,American Restaurant,Indian Restaurant
3," Brent, London UK",Coffee Shop,Sandwich Place,Indian Restaurant,Grocery Store,Clothing Store,Hotel,Pizza Place,Gym / Fitness Center,Portuguese Restaurant,Pharmacy
4," Bromley, London UK",Pub,Supermarket,Park,Fruit & Vegetable Store,Lake,Turkish Restaurant,Molecular Gastronomy Restaurant,Coffee Shop,Fast Food Restaurant,Platform
5," Camden, London UK",Pub,Café,Bakery,Movie Theater,Pizza Place,Garden,Coffee Shop,Park,Zoo Exhibit,Beer Store
6," Croydon, London UK",Tram Station,Café,Golf Course,Pub,Park,Hotel,Indian Restaurant,Coffee Shop,Gas Station,Supermarket
7," Ealing, London UK",Pub,Coffee Shop,Park,Italian Restaurant,Gym / Fitness Center,Hotel,Supermarket,Indian Restaurant,Burger Joint,Grocery Store
8," Enfield, London UK",Pub,Supermarket,Coffee Shop,Pizza Place,Grocery Store,Fast Food Restaurant,Turkish Restaurant,Clothing Store,Pharmacy,Gym / Fitness Center
9," Greenwich, London UK",Grocery Store,Pub,Park,Fast Food Restaurant,Café,Chinese Restaurant,Historic Site,Pizza Place,Rugby Pitch,Pharmacy
10," Hackney, London UK",Pub,Coffee Shop,Café,Bakery,Cocktail Bar,Park,Brewery,Restaurant,Pizza Place,Wine Shop
11," Hammersmith and Fulham, London UK",Pub,Café,Coffee Shop,Japanese Restaurant,Bakery,Park,Gastropub,Thai Restaurant,Middle Eastern Restaurant,Persian Restaurant
12," Haringey, London UK",Turkish Restaurant,Pub,Park,Café,Coffee Shop,Grocery Store,Mediterranean Restaurant,Bakery,Gym / Fitness Center,Italian Restaurant
13," Harrow, London UK",Indian Restaurant,Coffee Shop,Park,Pub,Fast Food Restaurant,Sandwich Place,Grocery Store,Gym,Supermarket,Café
14," Havering, London UK",Pub,Grocery Store,Italian Restaurant,Coffee Shop,Supermarket,Café,Train Station,Sandwich Place,Park,Bakery
15," Hillingdon, London UK",Coffee Shop,Pub,Grocery Store,Sandwich Place,Italian Restaurant,Indian Restaurant,Fish & Chips Shop,Supermarket,Gym / Fitness Center,Fast Food Restaurant
16," Hounslow, London UK",Indian Restaurant,Coffee Shop,Grocery Store,Clothing Store,Bakery,Pub,Hotel,Sandwich Place,Supermarket,Park
17," Islington, London UK",Pub,Café,Park,Theater,Coffee Shop,Italian Restaurant,Deli / Bodega,Fish Market,Beer Bar,Mediterranean Restaurant
18," Kensington and Chelsea, London UK",Garden,Supermarket,Restaurant,Gym / Fitness Center,Bakery,Italian Restaurant,Juice Bar,Café,Art Gallery,Pub
19," Kingston upon Thames, London UK",Coffee Shop,Grocery Store,Pub,Park,Pharmacy,Supermarket,Korean Restaurant,Fast Food Restaurant,Gym / Fitness Center,Train Station
