,0,1,2
1,M1A,Not assigned,
2,M2A,Not assigned,
3,M3A,North York,Parkwoods
4,M4A,North York,Victoria Village
5,M5A,Downtown Toronto,Regent Park / Harbourfront
6,M6A,North York,Lawrence Manor / Lawrence Heights
7,M7A,Downtown Toronto,Queen's Park / Ontario Provincial Government
8,M8A,Not assigned,
9,M9A,Etobicoke,Islington Avenue
10,M1B,Scarborough,Malvern / Rouge
11,M2B,Not assigned,
12,M3B,North York,Don Mills
13,M4B,East York,Parkview Hill / Woodbine Gardens
14,M5B,Downtown Toronto,"Garden District, Ryerson"
15,M6B,North York,Glencairn
16,M7B,Not assigned,
17,M8B,Not assigned,
18,M9B,Etobicoke,West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale
19,M1C,Scarborough,Rouge Hill / Port Union / Highland Creek
20,M2C,Not assigned,
21,M3C,North York,Don Mills
22,M4C,East York,Woodbine Heights
23,M5C,Downtown Toronto,St. James Town
24,M6C,York,Humewood-Cedarvale
25,M7C,Not assigned,
26,M8C,Not assigned,
27,M9C,Etobicoke,Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood
28,M1E,Scarborough,Guildwood / Morningside / West Hill
29,M2E,Not assigned,
30,M3E,Not assigned,
31,M4E,East Toronto,The Beaches
32,M5E,Downtown Toronto,Berczy Park
33,M6E,York,Caledonia-Fairbanks
34,M7E,Not assigned,
35,M8E,Not assigned,
36,M9E,Not assigned,
37,M1G,Scarborough,Woburn
38,M2G,Not assigned,
39,M3G,Not assigned,
40,M4G,East York,Leaside
41,M5G,Downtown Toronto,Central Bay Street
42,M6G,Downtown Toronto,Christie
43,M7G,Not assigned,
44,M8G,Not assigned,
45,M9G,Not assigned,
46,M1H,Scarborough,Cedarbrae
47,M2H,North York,Hillcrest Village
48,M3H,North York,Bathurst Manor / Wilson Heights / Downsview North
49,M4H,East York,Thorncliffe Park
50,M5H,Downtown Toronto,Richmond / Adelaide / King
51,M6H,West Toronto,Dufferin / Dovercourt Village
52,M7H,Not assigned,
53,M8H,Not assigned,
54,M9H,Not assigned,
55,M1J,Scarborough,Scarborough Village
56,M2J,North York,Fairview / Henry Farm / Oriole
57,M3J,North York,Northwood Park / York University
58,M4J,East York,East Toronto
59,M5J,Downtown Toronto,Harbourfront East / Union Station / Toronto Islands
60,M6J,West Toronto,Little Portugal / Trinity
61,M7J,Not assigned,
62,M8J,Not assigned,
63,M9J,Not assigned,
64,M1K,Scarborough,Kennedy Park / Ionview / East Birchmount Park
65,M2K,North York,Bayview Village
66,M3K,North York,Downsview
67,M4K,East Toronto,The Danforth West / Riverdale
68,M5K,Downtown Toronto,Toronto Dominion Centre / Design Exchange
69,M6K,West Toronto,Brockton / Parkdale Village / Exhibition Place
70,M7K,Not assigned,
71,M8K,Not assigned,
72,M9K,Not assigned,
73,M1L,Scarborough,Golden Mile / Clairlea / Oakridge
74,M2L,North York,York Mills / Silver Hills
75,M3L,North York,Downsview
76,M4L,East Toronto,India Bazaar / The Beaches West
77,M5L,Downtown Toronto,Commerce Court / Victoria Hotel
78,M6L,North York,North Park / Maple Leaf Park / Upwood Park
79,M7L,Not assigned,
80,M8L,Not assigned,
81,M9L,North York,Humber Summit
82,M1M,Scarborough,Cliffside / Cliffcrest / Scarborough Village West
83,M2M,North York,Willowdale / Newtonbrook
84,M3M,North York,Downsview
85,M4M,East Toronto,Studio District
86,M5M,North York,Bedford Park / Lawrence Manor East
87,M6M,York,Del Ray / Mount Dennis / Keelsdale and Silverthorn
88,M7M,Not assigned,
89,M8M,Not assigned,
90,M9M,North York,Humberlea / Emery
91,M1N,Scarborough,Birch Cliff / Cliffside West
92,M2N,North York,Willowdale
93,M3N,North York,Downsview
94,M4N,Central Toronto,Lawrence Park
95,M5N,Central Toronto,Roselawn
96,M6N,York,Runnymede / The Junction North
97,M7N,Not assigned,
98,M8N,Not assigned,
99,M9N,York,Weston
100,M1P,Scarborough,Dorset Park / Wexford Heights / Scarborough Town Centre
101,M2P,North York,York Mills West
102,M3P,Not assigned,
103,M4P,Central Toronto,Davisville North
104,M5P,Central Toronto,Forest Hill North & West
105,M6P,West Toronto,High Park / The Junction South
106,M7P,Not assigned,
107,M8P,Not assigned,
108,M9P,Etobicoke,Westmount
109,M1R,Scarborough,Wexford / Maryvale
110,M2R,North York,Willowdale
111,M3R,Not assigned,
112,M4R,Central Toronto,North Toronto West
113,M5R,Central Toronto,The Annex / North Midtown / Yorkville
114,M6R,West Toronto,Parkdale / Roncesvalles
115,M7R,Mississauga,Canada Post Gateway Processing Centre
116,M8R,Not assigned,
117,M9R,Etobicoke,Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens
118,M1S,Scarborough,Agincourt
119,M2S,Not assigned,
120,M3S,Not assigned,
121,M4S,Central Toronto,Davisville
122,M5S,Downtown Toronto,University of Toronto / Harbord
123,M6S,West Toronto,Runnymede / Swansea
124,M7S,Not assigned,
125,M8S,Not assigned,
126,M9S,Not assigned,
127,M1T,Scarborough,Clarks Corners / Tam O'Shanter / Sullivan
128,M2T,Not assigned,
129,M3T,Not assigned,
130,M4T,Central Toronto,Moore Park / Summerhill East
131,M5T,Downtown Toronto,Kensington Market / Chinatown / Grange Park
132,M6T,Not assigned,
133,M7T,Not assigned,
134,M8T,Not assigned,
135,M9T,Not assigned,
136,M1V,Scarborough,Milliken / Agincourt North / Steeles East / L'Amoreaux East
137,M2V,Not assigned,
138,M3V,Not assigned,
139,M4V,Central Toronto,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park
140,M5V,Downtown Toronto,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport
141,M6V,Not assigned,
142,M7V,Not assigned,
143,M8V,Etobicoke,New Toronto / Mimico South / Humber Bay Shores
144,M9V,Etobicoke,South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens
145,M1W,Scarborough,Steeles West / L'Amoreaux West
146,M2W,Not assigned,
147,M3W,Not assigned,
148,M4W,Downtown Toronto,Rosedale
149,M5W,Downtown Toronto,Stn A PO Boxes
150,M6W,Not assigned,
151,M7W,Not assigned,
152,M8W,Etobicoke,Alderwood / Long Branch
153,M9W,Etobicoke,Northwest
154,M1X,Scarborough,Upper Rouge
155,M2X,Not assigned,
156,M3X,Not assigned,
157,M4X,Downtown Toronto,St. James Town / Cabbagetown
158,M5X,Downtown Toronto,First Canadian Place / Underground city
159,M6X,Not assigned,
160,M7X,Not assigned,
161,M8X,Etobicoke,The Kingsway / Montgomery Road / Old Mill North
162,M9X,Not assigned,
163,M1Y,Not assigned,
164,M2Y,Not assigned,
165,M3Y,Not assigned,
166,M4Y,Downtown Toronto,Church and Wellesley
167,M5Y,Not assigned,
168,M6Y,Not assigned,
169,M7Y,East Toronto,Business reply mail Processing CentrE
170,M8Y,Etobicoke,Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East
171,M9Y,Not assigned,
172,M1Z,Not assigned,
173,M2Z,Not assigned,
174,M3Z,Not assigned,
175,M4Z,Not assigned,
176,M5Z,Not assigned,
177,M6Z,Not assigned,
178,M7Z,Not assigned,
179,M8Z,Etobicoke,Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West
180,M9Z,Not assigned,
